To Tree Or Not To Tree,Forest Rain,Dean Evenson,321.9,0.51,0.363,1995ø
Sunstream,Desert Moon Song,Dean Evenson,137.8,0.51,0.363,2001ø
Sunset Colors,Desert Moon Song,Dean Evenson,329.3,0.51,0.363,2001ø
Sunrise,Ascension To Tibet,Dean Evenson,279.1,0.51,0.363,1996ø
Prayer,Desert Moon Song,Dean Evenson,93.2,0.51,0.363,2001ø
Mating Call,Desert Moon Song,Dean Evenson,290.0,0.51,0.363,2001ø
Grandfather Rain,Desert Moon Song,Dean Evenson,293.3,0.51,0.363,2001ø
Evensong,Desert Moon Song,Dean Evenson,382.3,0.51,0.363,2001ø
Desert Moon,Desert Moon Song,Dean Evenson,501.7,0.51,0.363,2001ø
Desert Dawn,Desert Moon Song,Dean Evenson,354.7,0.51,0.363,2001ø
Deep Night,Desert Moon Song,Dean Evenson,543.0,0.51,0.363,2001ø
Day Break,Desert Moon Song,Dean Evenson,228.9,0.51,0.363,2001ø
After The Rain,Desert Moon Song,Dean Evenson,256.5,0.51,0.363,2001ø
