I Was A Daughter,I Was A Daughter,Basia,176.0,0.687,0.46,2007ø
Yearning,Basia On Broadway,Basia,365.6,0.595,0.415,1994ø
Until You Come Back To Me (That's What I'm Gonna Do),Basia On Broadway,Basia,279.0,0.595,0.415,1995ø
Time And Tide,Time And Tide,Basia,243.1,0.595,0.415,1987ø
Third Time Lucky,The Sweetest Illusion,Basia,300.9,0.595,0.415,1994ø
There's A Tear,Relaxing Dinner Music 2,Basia,253.0,0.595,0.415,2009ø
The Sweetest Illusion,The Sweetest Illusion,Basia,300.2,0.595,0.415,1994ø
The Prayer Of A Happy Housewife,The Sweetest Illusion,Basia,297.8,0.595,0.415,1994ø
Take Him Back_ Rachel,London Warsaw New York,Basia,260.4,0.595,0.415,1989ø
Simple Pleasures,The Sweetest Illusion,Basia,293.6,0.595,0.415,1994ø
Reward,London Warsaw New York,Basia,311.2,0.595,0.415,1989ø
Promises,Clear Horizon - The Best Of Basia,Basia,245.3,0.595,0.415,1987ø
Prime Time TV,Time And Tide,Basia,321.1,0.595,0.415,1987ø
Perfect Mother,Clear Horizon - The Best Of Basia,Basia,232.3,0.595,0.415,1994ø
Ordinary People,London Warsaw New York,Basia,298.1,0.595,0.415,1989ø
Not An Angel,London Warsaw New York,Basia,265.2,0.595,0.415,1989ø
New Day For You,Time And Tide,Basia,268.1,0.595,0.415,1987ø
My Cruel Ways,The Sweetest Illusion,Basia,293.3,0.595,0.415,1994ø
How Dare You,Time And Tide,Basia,204.2,0.595,0.415,1987ø
Half A Minute,Basia On Broadway,Basia,236.9,0.595,0.415,1995ø
Go For You,Clear Horizon - The Best Of Basia,Basia,243.5,0.595,0.415,1998ø
Give Me That,Brave New Hope,Basia,264.4,0.595,0.415,2003ø
From Now On,Brave New Hope,Basia,245.5,0.595,0.415,1987ø
Freeze Thaw,Time And Tide,Basia,237.3,0.595,0.415,1987ø
Dzien Sie Budzi,Basia On Broadway,Basia,223.0,0.595,0.415,1995ø
Drunk On Love,Basia On Broadway,Basia,302.7,0.595,0.415,1994ø
Cruising For Bruising,Brave New Hope,Basia,408.3,0.595,0.415,1989ø
Copernicus,London_ Warsaw_ New York,Basia,231.7,0.595,0.415,1989ø
Come To Heaven,Brave New Hope,Basia,250.4,0.595,0.415,2003ø
Clear Horizon,Clear Horizon - The Best Of Basia,Basia,256.5,0.595,0.415,1998ø
Brave New Hope,London_ Warsaw_ New York,Basia,246.1,0.595,0.415,1989ø
Blame It On The Summer,Blame It On The Summer,Basia,267.0,0.595,0.415,2009ø
Best Friends,London_ Warsaw_ New York,Basia,241.6,0.595,0.415,1989ø
Baby You're Mine,Clear Horizon - The Best Of Basia,Basia,217.0,0.595,0.415,1989ø
Astrud,Time And Tide,Basia,280.4,0.595,0.415,1987ø
An Olive Tree,Clear Horizon - The Best Of Basia,Basia,301.2,0.595,0.415,1994ø
