Willow,Three,Phantom|Ghost,132.7,0.542,0.382,2006ø
Where More Gifted People Cracked,Three,Phantom|Ghost,232.0,0.542,0.382,2006ø
THIS WORK IS INSIDE OUT,Phantom/Ghost,Phantom|Ghost,364.3,0.542,0.382,2001ø
THE LOOP,Phantom/Ghost,Phantom|Ghost,407.0,0.542,0.382,2001ø
THE BOGEYMAN,Phantom/Ghost,Phantom|Ghost,266.7,0.542,0.382,2001ø
Tannis Root,Three,Phantom|Ghost,358.3,0.542,0.382,2006ø
PHANTOMS AND GHOSTS,Phantom/Ghost,Phantom|Ghost,464.2,0.542,0.382,2001ø
PERFECT LOVERS,Phantom/Ghost,Phantom|Ghost,424.7,0.542,0.382,2001ø
Open Book In A Dead Language,Three,Phantom|Ghost,269.6,0.542,0.382,2006ø
MEMO FROM TURNER,Phantom/Ghost,Phantom|Ghost,331.8,0.542,0.382,2001ø
Far From The Madding Crown,Three,Phantom|Ghost,256.8,0.542,0.382,2006ø
ELECTRONIC ALCATRAZ,Phantom/Ghost,Phantom|Ghost,340.4,0.542,0.382,2001ø
Clouds Hill,Three,Phantom|Ghost,329.5,0.542,0.382,2006ø
BUON GIORNO INFERNO,Phantom/Ghost,Phantom|Ghost,67.1,0.542,0.382,2001ø
All Is Hell,Three,Phantom|Ghost,253.9,0.542,0.382,2006ø
A Blush,Three,Phantom|Ghost,197.1,0.542,0.382,2006ø
