Watersong,Watersong Remixes,Fous De La Mer,346.2,0.517,0.345,2007ø
Waiting For The Sun,The Future Is My Melody Vol.2,Fous De La Mer,360.2,0.517,0.345,2004ø
Ultramar,Ipanema,Fous De La Mer,303.3,0.517,0.345,2006ø
Tu Mirada,Ipanema,Fous De La Mer,289.1,0.517,0.345,2004ø
Triste,Ipanema,Fous De La Mer,260.4,0.517,0.345,2008ø
The Real Santi,Stars And Fishes,Fous De La Mer,272.9,0.517,0.345,2004ø
The Night Is Still Young,Ipanema,Fous De La Mer,303.0,0.517,0.345,2009ø
Stars And Fishes,Stars And Fishes,Fous De La Mer,322.3,0.517,0.345,2004ø
Spinaker,Ipanema,Fous De La Mer,286.9,0.517,0.345,2008ø
Solo Pa Ti,Ipanema,Fous De La Mer,304.4,0.517,0.345,2008ø
Never Stop Loving,Never Stop Loving Remixes,Fous De La Mer,337.9,0.517,0.345,2004ø
Luces,The Future Is My Melody Vol. 3,Fous De La Mer,301.9,0.517,0.345,2006ø
Le Reve Est Mort,Stars And Fishes,Fous De La Mer,297.2,0.517,0.345,2004ø
Esse Sonho,The Elektrolux Decade,Fous De La Mer,339.7,0.517,0.345,2005ø
Conmigo,Ipanema,Fous De La Mer,333.4,0.517,0.345,2004ø
Coco Verde,Ipanema,Fous De La Mer,291.8,0.517,0.345,2008ø
Bossaliday,Ipanema,Fous De La Mer,272.9,0.517,0.345,2008ø
Bigger Love,Ipanema,Fous De La Mer,251.1,0.517,0.345,2008ø
Asi Vas,Ipanema,Fous De La Mer,260.0,0.517,0.345,2008ø
As I Look Around,The Future Is My Melody Vol.2,Fous De La Mer,313.5,0.517,0.345,2004ø
All These Years,The Future Is My Melody Vol. 3,Fous De La Mer,241.1,0.517,0.345,2006ø
