Salla,The Best of Turkish Rap & RnB Vol. 1,Makale,229.7,0.432,0.249,2003ø
Sali Lan,Tamam,Makale,95.9,0.432,0.249,2005ø
Nerden Nereye,Tamam,Makale,261.9,0.432,0.249,2005ø
Kim Geldi,Tamam,Makale,225.6,0.432,0.249,2005ø
Karanfil,Tamam,Makale,237.8,0.432,0.249,2005ø
Istiyoruz,Tamam,Makale,238.9,0.432,0.249,2005ø
Get On,Tamam,Makale,238.3,0.432,0.249,2005ø
Diyar Diyar,Tamam,Makale,233.7,0.432,0.249,2005ø
Chilly Bomb,Tamam,Makale,218.6,0.432,0.249,2005ø
Bu Bilmeyene,Tamam,Makale,273.8,0.432,0.249,2005ø
Biz Siz,Tamam,Makale,225.3,0.432,0.249,2005ø
Bak,Tamam,Makale,249.5,0.432,0.249,2005ø
Askim (Remix),Tamam,Makale,206.4,0.432,0.249,2005ø
Askim,Tamam,Makale,199.4,0.432,0.249,2005ø
Arkadas,Tamam,Makale,278.5,0.432,0.249,2005ø
