When My Anger Starts To Cry,Jazzland Sampler 2005,Beady Belle,231.1,0.597,0.498,2004ø
Viscous Ocean,Belvedere,Beady Belle,221.2,0.597,0.498,2008ø
Two-faced,Belvedere,Beady Belle,235.7,0.597,0.498,2008ø
Tranquil Flight,Belvedere,Beady Belle,263.4,0.597,0.498,2008ø
Tower Of Lament,Belvedere,Beady Belle,291.1,0.597,0.498,2008ø
Stools & Rules,Closer,Beady Belle,360.4,0.597,0.498,2005ø
Skin Deep,Closer,Beady Belle,243.5,0.597,0.498,2005ø
Self-fulfilling,Belvedere,Beady Belle,258.7,0.597,0.498,2008ø
Pillory-like,Closer,Beady Belle,258.2,0.597,0.498,2005ø
Never Mind,Closer,Beady Belle,341.4,0.597,0.498,2005ø
Moderation,Jazzland Remixed 2,Beady Belle,520.4,0.597,0.498,2001ø
Lose & Win,Woman Jazz,Beady Belle,272.4,0.597,0.498,2001ø
Irony,Closer,Beady Belle,374.6,0.597,0.498,2005ø
Intermission Music,Belvedere,Beady Belle,214.9,0.597,0.498,2008ø
Goldilocks,Closer,Beady Belle,291.5,0.597,0.498,2005ø
Ghosts,Jazzland Remixed 2,Beady Belle,347.7,0.619,0.498,2001ø
Boiling Milk,Belvedere,Beady Belle,268.6,0.597,0.498,2008ø
Apron Strings,Belvedere,Beady Belle,278.9,0.597,0.498,2008ø
Airing,Closer,Beady Belle,370.2,0.597,0.498,2005ø
A Touch Of Paradise,Belvedere,Beady Belle,305.4,0.597,0.498,2008ø
