You're My Thrill,Live,Pepper Adams,300.3,0.416,0.341,1958ø
Verdandi,Encounter!,Pepper Adams,243.6,0.416,0.341,1969ø
Valse Celtique,The Adams Effect,Pepper Adams,351.5,0.416,0.341,1995ø
Star-Crossed Lovers,Encounter!,Pepper Adams,235.4,0.416,0.341,1969ø
Serenity,Encounter!,Pepper Adams,388.7,0.416,0.341,1969ø
Punjab,Encounter!,Pepper Adams,245.4,0.416,0.341,1969ø
Now In Our Lives (CD Bonus Track),The Adams Effect,Pepper Adams,525.0,0.416,0.341,1995ø
Now In Our Lives,The Adams Effect,Pepper Adams,418.5,0.416,0.341,1995ø
Inanout,Encounter!,Pepper Adams,353.2,0.416,0.341,1969ø
I've Just Seen Her,Encounter!,Pepper Adams,438.3,0.416,0.341,1969ø
How I Spent the Night,The Adams Effect,Pepper Adams,424.2,0.416,0.341,1995ø
Elusive,Encounter!,Pepper Adams,436.8,0.416,0.341,1969ø
Dylan's Delight,The Adams Effect,Pepper Adams,381.7,0.416,0.341,1995ø
Claudette's Way,The Adams Effect,Pepper Adams,450.7,0.416,0.341,1995ø
Cindy's Tune,Encounter!,Pepper Adams,360.5,0.416,0.341,1969ø
Binary,The Adams Effect,Pepper Adams,419.4,0.416,0.341,1995ø
