You Complete Me,R&B Collection Summer 2009,Keyshia Cole,222.6,0.866,0.55,2008ø
Work It Out,Just Like You,Keyshia Cole,244.0,0.866,0.55,2007ø
We Could Be,The Way It Is,Keyshia Cole,191.0,0.866,0.55,2005ø
Was It Worth It?,Just Like You,Keyshia Cole,216.2,0.866,0.55,2007ø
Superstar,The Way It Is,Keyshia Cole,227.6,0.866,0.55,2005ø
Love_ I Thought You Had My Back,The Way It Is,Keyshia Cole,250.2,0.866,0.55,2005ø
Love,The Way It Is,Keyshia Cole,282.4,0.866,0.55,2005ø
I Should Have Cheated,The Way It Is,Keyshia Cole,327.7,0.866,0.55,2006ø
Heaven Sent,Ultimate R&B Love 2009,Keyshia Cole,232.9,0.866,0.55,2007ø
Got To Get My Heart Back,Just Like You,Keyshia Cole,257.2,0.866,0.55,2007ø
Give Me More,Just Like You,Keyshia Cole,233.7,0.866,0.55,2007ø
Get Up,Biker Boyz,Keyshia Cole,197.4,0.866,0.55,2003ø
Fallin' Out,Just Like You,Keyshia Cole,267.0,0.866,0.55,2007ø
Down and Dirty,The Way It Is,Keyshia Cole,231.6,0.866,0.55,2005ø
(I Just Want It) To Be Over,The Way It Is,Keyshia Cole,242.3,0.866,0.55,2005ø
I Remember,Just Like You,Keyshia Cole,260.1,0.78,0.55,2007ø
