Aya Benzer,Pop Turkish 2,Mustafa Sandal,231.4,0.589,0.414,1999ø
Zaten,Devami Var,Mustafa Sandal,306.5,0.589,0.409,2007ø
Top,Pop Turkish,Mustafa Sandal,248.7,0.589,0.409,2000ø
Kimbilir Kim,Devami Var,Mustafa Sandal,218.2,0.589,0.409,2007ø
Jest Oldu,Araba,Mustafa Sandal,253.0,0.589,0.409,1996ø
Indir,Devami Var,Mustafa Sandal,217.1,0.589,0.409,2007ø
Herkes Mecbur,Devami Var,Mustafa Sandal,240.3,0.589,0.409,2007ø
Farketmez,Devami Var,Mustafa Sandal,245.0,0.589,0.409,2007ø
Detay,Araba,Mustafa Sandal,215.3,0.589,0.409,2000ø
Bir Anda,Araba,Mustafa Sandal,190.6,0.589,0.409,1996ø
Araba 2004,Seven,Mustafa Sandal,288.4,0.589,0.409,2004ø
Araba,Araba,Mustafa Sandal,254.1,0.589,0.409,1996ø
