Viimeinen palanen,Viimeinen palanen,Siiri Nordin,224.2,0.544,0.381,2008ø
Tu-Tu-Dah,Me Too,Siiri Nordin,222.9,0.544,0.381,2006ø
Tough Luck,Me Too,Siiri Nordin,295.7,0.544,0.381,2006ø
Supersoaker,Me Too,Siiri Nordin,404.0,0.544,0.381,2006ø
Soothe,Me Too,Siiri Nordin,192.5,0.544,0.381,2006ø
Oi mutsi mutsi,Synkkien laulujen maa,Siiri Nordin,186.6,0.544,0.381,2006ø
Of Joy,Me Too,Siiri Nordin,216.2,0.544,0.381,2006ø
Noodle It Out,Me Too,Siiri Nordin,218.6,0.544,0.381,2006ø
Narrow Scale,Me Too,Siiri Nordin,259.6,0.544,0.381,2006ø
Duck Soup,Me Too,Siiri Nordin,272.0,0.544,0.381,2006ø
Business As Usual,Me Too,Siiri Nordin,339.4,0.544,0.381,2006ø
Black And White,Me Too,Siiri Nordin,221.6,0.544,0.381,2006ø
