Trumpeter's Lullaby,45 Most Loved Instrumentals,Leroy Anderson,173.5,0.546,0.368,2008ø
The Wearing Of The Green,The Typewriter,Leroy Anderson,183.4,0.546,0.368,1992ø
The Waltzing Cat,The Typewriter,Leroy Anderson,160.6,0.546,0.368,1990ø
The Typewriter,Blue Tango,Leroy Anderson,97.8,0.546,0.368,1990ø
The Syncopated Clock,The Typewriter,Leroy Anderson,140.4,0.546,0.368,1990ø
The Phantom Regiment,The Typewriter,Leroy Anderson,201.4,0.546,0.368,1990ø
The Penny-Whistle Song,Blue Tango,Leroy Anderson,167.1,0.546,0.368,1990ø
The Last Rose of Summer,Blue Tango,Leroy Anderson,204.1,0.546,0.368,1992ø
The Girl in Satin,Blue Tango,Leroy Anderson,134.3,0.546,0.368,1990ø
The Girl I Left Behind Me,The Typewriter,Leroy Anderson,182.4,0.546,0.368,1992ø
Serenata,Blue Tango,Leroy Anderson,204.6,0.546,0.368,1964ø
Saraband,The Typewriter,Leroy Anderson,190.9,0.546,0.368,1992ø
Sandpaper Ballet,The Typewriter,Leroy Anderson,178.7,0.546,0.368,1990ø
Promenade,Blue Tango,Leroy Anderson,174.2,0.546,0.368,1995ø
Jazz Pizzicato - Jazz Legato,Blue Tango,Leroy Anderson,199.5,0.546,0.368,1992ø
Jazz Pizzicato,The Typewriter,Leroy Anderson,106.4,0.546,0.368,1964ø
Jazz Legato,The Typewriter,Leroy Anderson,95.2,0.546,0.368,1995ø
Horse And Buggy,The Typewriter,Leroy Anderson,197.3,0.546,0.368,1995ø
Forgotten Dreams,Blue Tango,Leroy Anderson,133.6,0.546,0.368,1990ø
Fiddle-Faddle,Blue Tango,Leroy Anderson,191.7,0.546,0.368,1964ø
Fiddle Faddle,The Typewriter,Leroy Anderson,189.3,0.546,0.368,1990ø
Bugler's Holiday,The Typewriter,Leroy Anderson,147.4,0.546,0.368,1990ø
Belle Of The Ball,The Typewriter,Leroy Anderson,152.5,0.546,0.368,1964ø
A Trumpeter's Lullaby,Blue Tango,Leroy Anderson,171.2,0.546,0.368,1990ø
