WHALE SWIM,FREE WILLY 2: THE ADVENTURE HOME  ORIGINAL MOTION PICTURE SOUNDTRACK,Basil Poledouris,198.2,0.611,0.384,1995ø
Van Chase,Robocop,Basil Poledouris,291.8,0.611,0.384,1987ø
Tuttle Knockdown,For Love of the Game,Basil Poledouris,109.6,0.611,0.384,1999ø
Theology / Civilization,Conan the Barbarian,Basil Poledouris,195.1,0.611,0.384,1982ø
The funeral pyre,Conan the Barbarian,Basil Poledouris,270.7,0.611,0.384,1982ø
The Decision,For Love of the Game,Basil Poledouris,314.9,0.611,0.384,1999ø
The Apology,For Love of the Game,Basil Poledouris,119.5,0.611,0.384,1999ø
Tango Urilla,Starship Troopers,Basil Poledouris,230.4,0.611,0.384,1997ø
Showdown,Robocop,Basil Poledouris,324.4,0.611,0.384,1987ø
Riddle of steel / Riders of doom,Conan the Barbarian,Basil Poledouris,340.2,0.611,0.384,1982ø
Red Route I,The Hunt For Red October,Basil Poledouris,210.3,0.611,0.384,1990ø
Punishment / Asteroid grazing,Starship Troopers,Basil Poledouris,290.1,0.611,0.384,1997ø
Plane Crash,The Hunt For Red October,Basil Poledouris,110.7,0.611,0.384,1990ø
Murphy's Death,Robocop,Basil Poledouris,158.2,0.611,0.384,1987ø
Main Title,Robocop,Basil Poledouris,39.5,0.611,0.384,1985ø
Lemonade,For Love of the Game,Basil Poledouris,127.3,0.611,0.384,1999ø
Last Pitch,For Love of the Game,Basil Poledouris,296.9,0.611,0.384,1999ø
Kaboom!!!,The Hunt For Red October,Basil Poledouris,195.9,0.611,0.384,1990ø
Into it,Starship Troopers,Basil Poledouris,276.1,0.611,0.384,1997ø
Hopper Canyon,Starship Troopers,Basil Poledouris,163.7,0.611,0.384,1997ø
Have A Heart,Robocop,Basil Poledouris,32.6,0.611,0.384,2004ø
Gus Hits,For Love of the Game,Basil Poledouris,69.3,0.611,0.384,1999ø
For Love of the Game - Main Theme,For Love of the Game,Basil Poledouris,213.1,0.611,0.384,1999ø
Directive IV,Robocop,Basil Poledouris,64.5,0.611,0.384,1987ø
Destruction of Roger Young,Starship Troopers,Basil Poledouris,206.6,0.611,0.384,1997ø
Chopper,The Hunt For Red October,Basil Poledouris,175.0,0.611,0.384,1990ø
Care Package,Robocop,Basil Poledouris,130.6,0.611,0.384,2004ø
Bugs,Starship Troopers,Basil Poledouris,139.6,0.611,0.384,1997ø
Brainbug,Starship Troopers,Basil Poledouris,238.2,0.611,0.384,1997ø
Betrayal,Robocop,Basil Poledouris,140.0,0.611,0.384,1987ø
Across the Board,Robocop,Basil Poledouris,111.7,0.611,0.384,1987ø
