Why Can't I Be You,Perfect As Cats: A Tribute to the Cure,We Are The World,206.5,0.557,0.443,2008ø
Sweet Things Are So Hard,Clay Stones (Manimal Version),We Are The World,154.9,0.557,0.443,2010ø
Not in Death,Clay Stones (Manimal Version),We Are The World,261.4,0.557,0.443,2010ø
Lord Have Ass,Clay Stones (Manimal Version),We Are The World,286.8,0.557,0.443,2010ø
Lie Like a Forest,Clay Stones (Manimal Version),We Are The World,214.7,0.557,0.443,2010ø
Goya Monster,Clay Stones (Manimal Version),We Are The World,214.5,0.557,0.443,2010ø
Foot Follows Foot,Clay Stones (Manimal Version),We Are The World,240.6,0.557,0.443,2010ø
Fight Song,Clay Stones (Manimal Version),We Are The World,248.1,0.557,0.443,2010ø
Clover and Dirt,Clay Stones (Manimal Version),We Are The World,220.3,0.598,0.443,2010ø
Clay Stones,Clay Stones (Manimal Version),We Are The World,262.7,0.557,0.443,2010ø
Afire,Clay Stones (Manimal Version),We Are The World,280.3,0.557,0.443,2010ø
