We Have Contact... (Outer Bass Mix),Bass 2000: Mission 1,Bass Transmission,256.1,0.22,0.185,1997ø
The Ultimate Bass Experience,Ultimate Bass Experience,Bass Transmission,247.3,0.22,0.185,1995ø
Techno Jungle,Ultimate Bass Experience,Bass Transmission,201.4,0.22,0.185,1995ø
Techno Bass Transmission,Ultimate Bass Experience,Bass Transmission,242.3,0.272,0.185,1995ø
Rollin' Wit Da Backbeat,Ultimate Bass Experience,Bass Transmission,225.5,0.22,0.185,1995ø
Miami Bass Overload,Ultimate Bass Experience,Bass Transmission,180.9,0.22,0.185,1995ø
Let The Bass Set You Free,Bass Apocolypse - World Bass Wars Volume 1,Bass Transmission,200.4,0.22,0.185,1998ø
Feel The Vibration,Ultimate Bass Experience,Bass Transmission,233.7,0.22,0.185,1995ø
Drums of Passion,Ultimate Bass Experience,Bass Transmission,264.7,0.22,0.185,1995ø
Digital Bass,Ultimate Bass Experience,Bass Transmission,261.7,0.22,0.185,1995ø
Dance_ Shake & Swing,Ultimate Bass Experience,Bass Transmission,303.2,0.22,0.185,1995ø
Come On_ Kick It,Ultimate Bass Experience,Bass Transmission,235.1,0.22,0.185,1995ø
Bass Non-Stop,Ultimate Bass Experience,Bass Transmission,243.0,0.22,0.185,1995ø
Bass Extreme,Ultimate Bass Experience,Bass Transmission,249.5,0.22,0.185,1995ø
Bass Computer 808,Ultimate Bass Experience,Bass Transmission,230.8,0.22,0.185,1995ø
