THEY DON'T KNOW,R&B Chillout,Jon B.,250.6,0.687,0.454,1997ø
Tell Me,Pleasures U Like,Jon B.,296.9,0.687,0.454,2001ø
Simple Melody,Bonafide,Jon B.,237.3,0.687,0.454,1995ø
Pleasures U Like,Pleasures U Like,Jon B.,229.2,0.687,0.454,2001ø
Pants Off,Bonafide,Jon B.,277.9,0.687,0.454,1995ø
Overflow,Bonafide,Jon B.,299.2,0.687,0.454,1995ø
Mystery 4 Two,Bonafide,Jon B.,297.2,0.687,0.454,1995ø
Love Don't Do,Bonafide,Jon B.,404.8,0.687,0.454,1995ø
Lonely Girl,Pleasures U Like,Jon B.,266.7,0.687,0.454,2001ø
Isn't It Scary,Bonafide,Jon B.,307.7,0.687,0.454,1995ø
Do It All Again,Pleasures U Like,Jon B.,295.7,0.687,0.454,2001ø
Cocoa Brown,Pleasures U Like,Jon B.,238.7,0.687,0.454,2001ø
Calling On You,Pleasures U Like,Jon B.,280.0,0.687,0.454,2001ø
Boy Is Not A Man,Pleasures U Like,Jon B.,261.9,0.687,0.454,2001ø
