Truth Of Transition,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,225.4,0.547,0.353,2007ø
The Flood,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,309.6,0.547,0.353,2007ø
The Best Time Of The Worst Year,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,316.3,0.547,0.353,2007ø
Sick On Substance,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,276.2,0.547,0.353,2007ø
Shake,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,238.9,0.547,0.353,2007ø
Sackcloth In Ashes,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,299.6,0.148,0.353,2007ø
Gutter Of Disneyland,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,285.4,0.547,0.353,2007ø
Dear Dictator,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,222.5,0.547,0.353,2007ø
Boom_ Tap_ Crash,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,284.1,0.547,0.353,2007ø
A Muted Moment,Until the World is Happy; Wake Up You Sleepyhead Sun,Small Leaks Sink Ships,331.7,0.547,0.353,2007ø
