Today Was A Fairytale,Valentine's Day OST,Taylor Swift,243.6,0.89,0.922,2010ø
Tim McGraw,Taylor Swift,Taylor Swift,232.1,0.89,0.922,2006ø
Tied Together With A Smile,Taylor Swift,Taylor Swift,248.1,0.89,0.922,2006ø
The Way I Loved You,Fearless,Taylor Swift,245.4,0.89,0.922,2008ø
The Outside,Taylor Swift,Taylor Swift,207.1,0.89,0.922,2006ø
The Best Day,Fearless,Taylor Swift,246.3,0.89,0.922,2008ø
SuperStar,Fearless,Taylor Swift,261.4,0.89,0.922,2009ø
Picture To Burn,Taylor Swift,Taylor Swift,173.0,0.89,0.922,2006ø
Love Story,Love Story,Taylor Swift,222.7,0.89,0.922,2008ø
Jump Then Fall,Fearless,Taylor Swift,237.0,0.89,0.922,2009ø
I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,213.0,0.89,0.922,2007ø
Hey Stephen,Fearless,Taylor Swift,256.0,0.89,0.922,2008ø
Forever & Always,Fearless,Taylor Swift,225.0,0.89,0.922,2008ø
Fifteen,My Songs 2010,Taylor Swift,242.1,0.89,0.922,2008ø
Fearless,Fearless,Taylor Swift,242.3,0.834,0.922,2008ø
Crazier,Hannah Montana The Movie,Taylor Swift,192.7,0.89,0.922,2009ø
Come In With The Rain,Fearless,Taylor Swift,238.1,0.89,0.922,2009ø
Cold As You,Taylor Swift,Taylor Swift,239.0,0.89,0.922,2006ø
White Horse,Fearless,Taylor Swift,235.4,0.834,0.881,2008ø
Teardrops On My Guitar (POP version),Taylor Swift,Taylor Swift,179.0,0.834,0.881,2008ø
Teardrops On My Guitar,Taylor Swift,Taylor Swift,203.0,0.834,0.881,2006ø
You're Not Sorry,Fearless Karaoke,Taylor Swift,264.9,0.89,0.872,2008ø
You Belong With Me,538 Hitzone 52,Taylor Swift,231.2,0.89,0.872,2008ø
Untouchable,Fearless,Taylor Swift,311.0,0.89,0.872,2009ø
Should've Said No,Fearless,Taylor Swift,245.8,0.89,0.872,2006ø
Our Song,Fearless,Taylor Swift,199.9,0.89,0.872,2006ø
Change,Fearless Karaoke,Taylor Swift,280.0,0.89,0.872,2008ø
A Perfectly Good Heart,Taylor Swift,Taylor Swift,220.1,0.89,0.872,2007ø
