You'll Be In My Heart,Disneymania,Usher,253.0,0.856,0.855,2002ø
You Took My Heart,Usher,Usher,312.3,0.856,0.855,1994ø
You Make Me Wanna...,Live,Usher,348.1,0.856,0.855,1997ø
Without U,8701,Usher,53.0,0.856,0.855,2001ø
Will Work For Love,Here I Stand,Usher,196.8,0.856,0.855,2008ø
Whispers,Usher,Usher,317.6,0.856,0.855,1994ø
What's A Man To Do,Here I Stand (Deluxe Version),Usher,249.7,0.856,0.855,2008ø
U R The One,8701,Usher,236.7,0.856,0.855,2001ø
U Got It Bad,8701,Usher,247.8,0.856,0.855,2001ø
Trading Places ,Dance Nation,Usher,294.5,0.856,0.855,2008ø
Trading Places,Dance Workout Classics; Keep Fit With The Hottest Hits & Remixes,Usher,286.8,0.856,0.855,2008ø
This Ain't Sex,Here I Stand,Usher,264.7,0.856,0.855,2008ø
There Goes My Baby,Raymond v Raymond,Usher,281.3,0.856,0.855,2010ø
The Many Ways,Usher,Usher,343.6,0.856,0.855,1994ø
Tender Love,Live,Usher,76.8,0.856,0.855,1999ø
Take Your Hand,Confessions,Usher,183.7,0.856,0.855,2004ø
Sweet Lies,Yeah!,Usher,249.7,0.856,0.855,2004ø
Superstar,Confessions,Usher,64.6,0.869,0.855,2004ø
Simple Things,Confessions,Usher,297.6,0.856,0.855,2004ø
Separated,8701,Usher,264.3,0.856,0.855,2001ø
Seduction,Confessions,Usher,273.8,0.856,0.855,2004ø
Rock Wit'cha,Live,Usher,98.9,0.856,0.855,1999ø
Revolver,Here I Stand,Usher,196.2,0.856,0.855,2008ø
Pro Lover,Raymond v Raymond,Usher,303.0,0.856,0.855,2010ø
Pop Ya Collar,8701,Usher,215.2,0.856,0.855,2000ø
Okay,Raymond v Raymond,Usher,195.1,0.856,0.855,2010ø
Nice & Slow,Chilled R&B Volume II,Usher,225.5,0.856,0.855,1997ø
Mars vs. Venus,Raymond v Raymond,Usher,262.5,0.856,0.855,2010ø
Making Love (Into The Night),Raymond v Raymond,Usher,216.2,0.856,0.855,2010ø
Just Like Me,My Way,Usher,207.5,0.856,0.855,1997ø
Intro-lude 8701,My Way / 8701,Usher,44.1,0.856,0.855,2001ø
Intro,Here I Stand,Usher,88.0,0.856,0.855,2004ø
Interlude 1,Usher,Usher,39.6,0.856,0.855,1994ø
I'll Show You Love,Usher,Usher,283.9,0.856,0.855,1994ø
I'll Make It Right,Usher,Usher,290.4,0.856,0.855,1994ø
I Need Love,Live,Usher,32.4,0.856,0.855,1999ø
Hottest Thing,8701,Usher,229.7,0.856,0.855,2001ø
Hey Daddy (Daddy's Home),Raymond v Raymond,Usher,224.1,0.856,0.855,2010ø
Good Ol' Ghetto,8701,Usher,240.1,0.856,0.855,2001ø
Forever Young,Here I Stand,Usher,261.0,0.856,0.855,2008ø
Every Little Step,Live,Usher,115.9,0.856,0.855,1999ø
Don't Be Cruel,Live,Usher,62.7,0.856,0.855,1999ø
Confessions,Confessions,Usher,75.8,0.856,0.855,2004ø
Come Back,My Way / 8701,Usher,227.0,0.856,0.855,1997ø
Caught Up,Confessions,Usher,224.6,0.856,0.855,2004ø
Can U Help Me,8701,Usher,335.9,0.856,0.855,2001ø
Burn,Burn,Usher,224.6,0.856,0.855,2004ø
Before I Met You,Here I Stand,Usher,296.7,0.856,0.855,2008ø
Bedtime,Live,Usher,423.7,0.856,0.855,1997ø
Appetite,Here I Stand (Deluxe Version),Usher,238.9,0.856,0.855,2008ø
U-Turn,8701,Usher,189.7,0.856,0.851,2001ø
U Remind Me,Love Song,Usher,247.5,0.856,0.851,2001ø
Twork It Out,8701,Usher,282.9,0.856,0.851,2001ø
Truth Hurts,Confessions,Usher,217.8,0.856,0.851,2004ø
Think Of You,Live,Usher,134.6,0.856,0.851,1994ø
Something Special,Here I Stand,Usher,237.3,0.856,0.851,2008ø
Smile Again,Usher,Usher,277.3,0.856,0.851,1994ø
Slow Love,Usher,Usher,298.0,0.856,0.851,1994ø
Roni,Live,Usher,117.9,0.856,0.851,1999ø
Pianolude,Live,Usher,212.6,0.856,0.851,1999ø
Love Was Here,Usher,Usher,337.1,0.856,0.851,1994ø
I Will,My Way / 8701,Usher,234.6,0.856,0.851,1997ø
