Stripped,For The Masses,Rammstein,284.5,0.814,0.606,1986ø
Zwitter,Mutter,Rammstein,257.5,0.869,0.58,2001ø
Wollt Ihr Das Bett In Flammen Sehen?,Herzeleid,Rammstein,317.3,0.869,0.58,1995ø
WO BIST DU,ROSENROT,Rammstein,235.3,0.869,0.58,2005ø
Weisses Fleisch,Herzeleid,Rammstein,215.8,0.869,0.58,1995ø
Tier,Sehnsucht,Rammstein,226.0,0.869,0.58,1997ø
TE QUIERO PUTA!,ROSENROT,Rammstein,235.6,0.869,0.58,2005ø
STIRB NICHT VOR MIR // DON'T DIE BEFORE I DO,ROSENROT,Rammstein,245.2,0.869,0.58,2005ø
STEIN UM STEIN,Reise_ Reise,Rammstein,232.4,0.869,0.58,2004ø
SPRING,ROSENROT,Rammstein,324.6,0.869,0.58,2005ø
Spieluhr,Mutter,Rammstein,327.8,0.869,0.58,2001ø
Spiel Mit Mir,Sehnsucht,Rammstein,285.2,0.869,0.58,1997ø
Sonne,Mutter,Rammstein,272.4,0.869,0.58,2001ø
Sehnsucht,Sehnsucht,Rammstein,244.4,0.869,0.58,1997ø
Seemann,Herzeleid,Rammstein,288.2,0.869,0.58,1995ø
ROSENROT,ROSENROT,Rammstein,234.7,0.869,0.58,2005ø
Rein Raus,Mutter,Rammstein,189.9,0.869,0.58,2001ø
Rammstein,Herzeleid,Rammstein,265.0,0.869,0.58,1994ø
OHNE DICH,Reise_ Reise,Rammstein,271.2,0.869,0.58,2004ø
Nebel,Mutter,Rammstein,294.6,0.869,0.58,2001ø
Mutter,Mutter,Rammstein,268.6,0.869,0.58,2001ø
MOSKAU,Reise_ Reise,Rammstein,256.3,0.869,0.58,2004ø
MORGENSTERN,Reise_ Reise,Rammstein,239.8,0.869,0.58,2004ø
MEIN TEIL,Reise_ Reise,Rammstein,272.4,0.869,0.58,2004ø
Mein Herz Brennt,Mutter,Rammstein,279.9,0.869,0.58,2001ø
MANN GEGEN MANN,ROSENROT,Rammstein,230.5,0.869,0.58,2005ø
LOS,Reise_ Reise,Rammstein,263.5,0.869,0.58,2004ø
Links 2 3 4,Mutter,Rammstein,294.9,0.869,0.58,2001ø
Laichzeit,Herzeleid,Rammstein,260.1,0.869,0.58,1994ø
Klavier,Sehnsucht,Rammstein,262.0,0.869,0.58,1997ø
Keine Lust,Reise_ Reise,Rammstein,222.9,0.869,0.58,2004ø
Ich Will,Mutter,Rammstein,237.5,0.869,0.58,2001ø
HILF MIR,ROSENROT,Rammstein,283.8,0.869,0.58,2005ø
Herzeleid,Herzeleid,Rammstein,221.9,0.869,0.58,1995ø
Heirate Mich,Herzeleid,Rammstein,284.6,0.869,0.58,1995ø
FEUER UND WASSER,ROSENROT,Rammstein,312.9,0.869,0.58,2005ø
Feuer Frei,Mutter,Rammstein,188.6,0.869,0.58,2003ø
Engel,Sehnsucht,Rammstein,264.2,0.869,0.58,1997ø
EIN LIED,ROSENROT,Rammstein,223.5,0.869,0.58,2005ø
Eifersucht,Sehnsucht,Rammstein,215.8,0.869,0.58,1997ø
Du Riechst So Gut,Herzeleid,Rammstein,289.2,0.869,0.58,1994ø
Du Hast,Family Values Tour '98,Rammstein,270.5,0.869,0.58,1997ø
Der Meister,Herzeleid,Rammstein,248.4,0.869,0.58,1995ø
Das Alte Leid,Herzeleid,Rammstein,344.5,0.869,0.58,1995ø
Dalai Lama,Reise_ Reise,Rammstein,338.5,0.869,0.58,2004ø
Bestrafe Mich,Sehnsucht,Rammstein,216.8,0.869,0.58,1997ø
BENZIN,ROSENROT,Rammstein,226.0,0.869,0.58,2005ø
Asche Zu Asche,Herzeleid,Rammstein,231.7,0.869,0.58,1995ø
AMOUR,Reise_ Reise,Rammstein,290.9,0.869,0.58,2004ø
AMERIKA,Reise_ Reise,Rammstein,226.7,0.869,0.58,2004ø
Alter Mann,Sehnsucht,Rammstein,262.7,0.869,0.58,1997ø
Adios,Mutter,Rammstein,228.5,0.869,0.58,2001ø
