Transcribe and Dictate (Heavy Trad),Four Years In 30 Seconds: A Collection Of Music From Around The World,Nurse With Wound,53.0,0.634,0.425,2010ø
Funeral Music For Perez Prado,Sleepwalk: A Selection By Optimo (Espacio),Nurse With Wound,380.9,0.634,0.425,1995ø
Two Shaves And A Shine (Original Archaic Demo),An Awkward Pause,Nurse With Wound,113.4,0.634,0.409,2006ø
Two Shaves And A Shine (Ingredients),An Awkward Pause,Nurse With Wound,112.9,0.634,0.409,2006ø
Two Shaves And A Shine (Concerto For Bouzouki And 3 Piece Rock Group In 93 Six Second Segments),An Awkward Pause,Nurse With Wound,591.6,0.525,0.409,1999ø
Two Mock Projections,Chance Meeting (Reissue / Special Edition),Nurse With Wound,380.3,0.634,0.409,1979ø
The Tumultuous Upsurge (Of Lasting Hatred),Homotopy To Marie,Nurse With Wound,85.5,0.634,0.409,1981ø
Sheela-Na-Gig,Drunk With The Old Man Of The Mountains,Nurse With Wound,325.5,0.634,0.409,1987ø
Shatterin' Man Falling ,Live At Bar Maldoror,Nurse With Wound,508.7,0.634,0.409,1994ø
Psychedelic Underground ,Live At Bar Maldoror,Nurse With Wound,278.6,0.634,0.409,1994ø
Penis Fuit Loop (Bald And Beardless Version),An Awkward Pause,Nurse With Wound,476.5,0.634,0.409,1999ø
Mummer's Little Weeper (Mud Ooze Sloth Mix),An Awkward Pause,Nurse With Wound,327.4,0.634,0.409,2006ø
Mummer's Little Weeper (Kinky Whim Demo),An Awkward Pause,Nurse With Wound,338.2,0.634,0.409,2006ø
Mummer's Little Weeper,An Awkward Pause,Nurse With Wound,344.6,0.634,0.409,1999ø
Mourning Smile,Drunk With The Old Man Of The Mountains,Nurse With Wound,312.2,0.634,0.409,1987ø
Intravenous (Unrefined Component No.3),An Awkward Pause,Nurse With Wound,377.7,0.634,0.409,1999ø
Intravenous (Unrefined Component No.2),An Awkward Pause,Nurse With Wound,307.1,0.634,0.409,1999ø
Intravenous (Plump Aerospheric Mix),An Awkward Pause,Nurse With Wound,526.3,0.634,0.409,2006ø
Disposition Two,An Awkward Pause,Nurse With Wound,286.9,0.634,0.409,2006ø
Disposition Three,An Awkward Pause,Nurse With Wound,301.0,0.634,0.409,2006ø
Disposition One,An Awkward Pause,Nurse With Wound,339.1,0.634,0.409,2006ø
