No One gets Out Alive,Facedown Records: Something Worth Fighting For,Point Of Recognition,156.3,0.471,0.372,2000ø
Chasing the Wind,Day of Defeat,Point Of Recognition,234.6,0.471,0.372,2002ø
Subverting the Innocent,Day of Defeat,Point Of Recognition,197.4,0.471,0.367,2002ø
Strength to Remain,Day of Defeat,Point Of Recognition,102.5,0.471,0.367,2002ø
Silence the Ignorance,Day of Defeat,Point Of Recognition,115.5,0.471,0.367,2002ø
My First Day,Day of Defeat,Point Of Recognition,193.3,0.471,0.367,2002ø
Insult to Injury,Day of Defeat,Point Of Recognition,159.9,0.471,0.367,2002ø
Injustice,Day of Defeat,Point Of Recognition,166.5,0.471,0.367,2002ø
Holding on by a Thread,Day of Defeat,Point Of Recognition,174.5,0.471,0.367,2002ø
Day of Defeat,Day of Defeat,Point Of Recognition,238.2,0.471,0.367,2002ø
Bust,Day of Defeat,Point Of Recognition,99.0,0.471,0.367,2002ø
Abolition of Man,Day of Defeat,Point Of Recognition,222.7,0.471,0.367,2002ø
