Dakar Punto Final,A Man And His Music,Willie Rosario,222.0,0.542,0.342,2001ø
Yo Quiero Encontrarme Contigo,Back To The Future,Willie Rosario,287.1,0.556,0.338,1999ø
Un Tipo Como Yo,Back To The Future,Willie Rosario,281.4,0.556,0.338,1999ø
Satin Lace,Back To The Future,Willie Rosario,336.5,0.556,0.338,1999ø
Que Siga El Afinque,Back To The Future,Willie Rosario,279.3,0.556,0.338,1999ø
Que Pasa Contigo,Back To The Future,Willie Rosario,292.0,0.556,0.338,1999ø
No More Blues,Back To The Future,Willie Rosario,331.8,0.556,0.338,1999ø
Medley: Cuando Estoy Contigo / En Cada Beso,Back To The Future,Willie Rosario,264.4,0.556,0.338,1999ø
La Bomba,Back To The Future,Willie Rosario,272.7,0.556,0.338,1999ø
Juntos De Nuevo,Back To The Future,Willie Rosario,285.5,0.556,0.338,1999ø
Busco Olvidarte,Back To The Future,Willie Rosario,274.9,0.556,0.338,1999ø
Arrepentios Pecadores,Back To The Future,Willie Rosario,271.3,0.556,0.338,1978ø
El Apartamento,Back To The Future,Willie Rosario,258.8,0.338,0.14,1999ø
