Walkin' In The Rain With The One I Love,Barry White - Universal Masters Collection,Love Unlimited,288.2,0.724,0.457,1987ø
Under The Influence Of Love,Unlimited,Love Unlimited,292.4,0.519,0.457,1973ø
Share A Little Love In Your Heart,In Heat,Love Unlimited,353.1,0.519,0.457,1974ø
Oh I Should Say_ It's Such A Beautiful Day,In Heat,Love Unlimited,210.7,0.519,0.457,1974ø
Move Me No Mountain,In Heat,Love Unlimited,235.3,0.519,0.457,1974ø
It May Be Winter Outside (But In My Heart It's Spring),Unlimited,Love Unlimited,309.3,0.519,0.457,1973ø
I'm So Glad That I'm a Woman,Love is Back,Love Unlimited,241.0,0.519,0.457,1992ø
I Needed Love - You Were There,In Heat,Love Unlimited,227.7,0.519,0.457,1974ø
I Love You So_ Never Gonna Let You Go,In Heat,Love Unlimited,200.3,0.519,0.457,1974ø
I Guess I'm Just Another Girl in Love,He's All I've Got,Love Unlimited,303.6,0.519,0.457,1997ø
I Can't Let Him Down,He's All I've Got,Love Unlimited,203.8,0.519,0.457,1996ø
I Belong To You,Unlimited,Love Unlimited,216.7,0.519,0.457,1974ø
He's All I've Got,He's All I've Got,Love Unlimited,441.1,0.519,0.457,1997ø
Gotta Be Where You Are,Love is Back,Love Unlimited,254.1,0.519,0.457,1997ø
