Stinkfist,Stinkfist + The Crumb,Lydia Lunch,417.3,0.619,0.474,1994ø
Some Boys,Drowning in Limbo,Lydia Lunch,289.3,0.619,0.474,1989ø
Lazy In Love,8-Eyed Spy,Lydia Lunch,203.2,0.619,0.474,1989ø
In My Time of Dying,Shotgun Wedding,Lydia Lunch,335.5,0.619,0.474,1996ø
Friday Afternoon,Drowning in Limbo,Lydia Lunch,251.5,0.619,0.474,1989ø
A Quiet Night of Murder in Greenwich_ CT,Drowning in Limbo,Lydia Lunch,182.3,0.619,0.474,1989ø
1000 Lies,Drowning in Limbo,Lydia Lunch,289.4,0.619,0.474,1989ø
What Did You Do,Drowning in Limbo,Lydia Lunch,372.5,0.619,0.413,1989ø
The Drowning,Drowning in Limbo,Lydia Lunch,107.3,0.619,0.413,1989ø
Swamp,8-Eyed Spy,Lydia Lunch,83.5,0.619,0.413,1989ø
Still Burning,Shotgun Wedding,Lydia Lunch,345.8,0.619,0.413,1987ø
Some Velvet Morning,Honeymoon In Red,Lydia Lunch,264.6,0.619,0.413,1987ø
So Your Heart,Honeymoon In Red,Lydia Lunch,140.4,0.619,0.413,1987ø
Ran Away Dark,8-Eyed Spy,Lydia Lunch,144.0,0.619,0.413,1989ø
Orphans,Teenage Jesus & the Jerks,Lydia Lunch,144.5,0.619,0.413,1989ø
I Wish& I Wish,Drowning in Limbo,Lydia Lunch,324.8,0.619,0.413,1989ø
How Men Die in their Sleep,Drowning in Limbo,Lydia Lunch,144.4,0.619,0.413,1989ø
Fields Of Fire,Honeymoon In Red,Lydia Lunch,234.7,0.619,0.413,1987ø
Emerald Pale Has Disappeared,Drowning in Limbo,Lydia Lunch,320.3,0.619,0.413,1989ø
Done Dun,Honeymoon In Red,Lydia Lunch,268.0,0.619,0.413,1987ø
Dear Whores,Uncensored/Oral Fixation,Lydia Lunch,180.9,0.619,0.413,1989ø
Dead River,Honeymoon In Red,Lydia Lunch,160.8,0.619,0.413,1987ø
Come Fall,Honeymoon In Red,Lydia Lunch,294.5,0.619,0.413,1987ø
A Cruise To The Moon,The Blank Generation - Blank Tapes NYC 1971 - 1985,Lydia Lunch,231.1,0.619,0.413,1980ø
Less Of Me,Teenage Jesus & the Jerks,Lydia Lunch,94.3,0.6,0.356,1979ø
