Yara,Defected In The House Miami '10 mixed by Riva Starr,Thomas Schumacher,382.8,0.616,0.443,2005ø
The Fortunate Ones (Remix 2),Sci-Fi Trax 4.4: The Fortunate Ones,Thomas Schumacher,342.5,0.616,0.443,2001ø
The Fortunate Ones (Humate Remix),The Fortunate Ones Remixes,Thomas Schumacher,586.5,0.616,0.443,2003ø
The Fortunate Ones,The Fortunate Ones Remixes,Thomas Schumacher,591.8,0.616,0.443,2001ø
Take Me Out,Is Not,Thomas Schumacher,466.8,0.616,0.443,2006ø
Take Leave,Home,Thomas Schumacher,388.0,0.616,0.443,2006ø
Sunset,The Ooh,Thomas Schumacher,417.9,0.616,0.443,2009ø
Sui,Is Not,Thomas Schumacher,386.0,0.616,0.443,2006ø
Sleepy Hollow,Home,Thomas Schumacher,455.8,0.616,0.443,2006ø
Rotor,Home,Thomas Schumacher,452.2,0.024,0.443,2006ø
ReGenerate,Home,Thomas Schumacher,372.6,0.45,0.443,2006ø
RedPurple,Home,Thomas Schumacher,443.7,0.796,0.443,2006ø
Pink Boots,Pink Boots,Thomas Schumacher,505.5,0.616,0.443,2008ø
Picanha,Picanha,Thomas Schumacher,441.6,0.616,0.443,2009ø
Metro,Home,Thomas Schumacher,438.9,0.616,0.443,2006ø
Mad Robot,Underground,Thomas Schumacher,454.0,0.616,0.443,2006ø
Kickschool 79,Home,Thomas Schumacher,407.9,0.616,0.443,2006ø
Is Not,Is Not,Thomas Schumacher,417.4,0.616,0.443,2006ø
Integrate 2,Sci-Fi Trax 3.3,Thomas Schumacher,579.6,0.616,0.443,2000ø
Integrate 1,Superstition 2001,Thomas Schumacher,407.6,0.616,0.443,2000ø
Hiroo,Home,Thomas Schumacher,396.9,0.574,0.443,2006ø
Exhale,Home,Thomas Schumacher,434.8,0.616,0.443,2006ø
DJ Boyfriend,Superstition 2001,Thomas Schumacher,463.6,0.616,0.443,2000ø
All Due Respect,Home,Thomas Schumacher,446.2,0.616,0.443,2006ø
