TiK ToK,TiK ToK,Ke$ha,200.0,0.81,0.857,2009ø
Your Love Is My Drug,Animal,Ke$ha,187.1,0.81,0.854,2010ø
VIP,Animal,Ke$ha,211.6,0.809,0.854,2010ø
Take It Off,Animal,Ke$ha,215.2,0.81,0.854,2010ø
Stephen,Animal,Ke$ha,212.4,0.809,0.854,2010ø
Party At A Rich Dude's House,Animal,Ke$ha,175.6,0.809,0.854,2010ø
Kiss N Tell,Animal,Ke$ha,207.6,0.809,0.854,2010ø
Dinosaur,Animal,Ke$ha,175.2,0.809,0.854,2010ø
Dancing With Tears In My Eyes,Animal,Ke$ha,209.2,0.809,0.854,2010ø
Boots &  Boys,Animal,Ke$ha,176.4,0.809,0.854,2010ø
Blind,Animal,Ke$ha,197.1,0.81,0.854,2010ø
Backstabber,Animal,Ke$ha,186.8,0.809,0.854,2010ø
