Voices (Radio Edit),100 Chillout Classics,Dario G,204.4,0.533,0.408,2000ø
Voices (Album Version),Sunmachine,Dario G,319.3,0.533,0.408,1998ø
Voices (Acoustic Version),Sunmachine,Dario G,204.2,0.533,0.408,1998ø
Sunmachine (Cyrus And The Joker Meets Bossi Radio Vocal Edit),Sunmachine,Dario G,211.3,0.533,0.408,1998ø
Sunmachine (Cyrus And The Joker Meets Bossi Extended Vocal Mix),Sunmachine,Dario G,457.0,0.533,0.408,1998ø
Sunmachine (Bossi Meets Cyrus And The Joker Club Mix),Sunmachine,Dario G,450.6,0.533,0.408,1998ø
Sunmachine (Album Version),Sunmachine,Dario G,439.4,0.533,0.408,1998ø
Sunchyme (Sash! -Rmx-Edit),Carnaval De Paris,Dario G,235.5,0.533,0.408,1998ø
Sunchyme (Album Version),Sunmachine,Dario G,379.2,0.533,0.408,1998ø
Revolution (Album Version),Sunmachine,Dario G,555.1,0.533,0.408,1998ø
Peaches (Album Version),Sunmachine,Dario G,377.0,0.533,0.408,1998ø
Malaway (Album Version),Sunmachine,Dario G,438.5,0.533,0.408,1998ø
Made Of Stone,Classic Big Tunes 2009,Dario G,293.5,0.533,0.408,2007ø
Carnaval De Paris (Tall Paul Mix),Carnaval De Paris,Dario G,494.8,0.533,0.408,1998ø
Carnaval De Paris (Srs Mix),Carnaval De Paris,Dario G,301.3,0.133,0.408,1998ø
Carnaval De Paris (Srs Edit),Carnaval De Paris,Dario G,240.8,0.533,0.408,1998ø
Carnaval De Paris (Radio Mix),Carnaval De Paris,Dario G,238.5,0.533,0.408,1998ø
"Carnaval De Paris (Jds 6"" Mix)",Carnaval De Paris,Dario G,401.8,0.533,0.408,1998ø
"Carnaval De Paris (12"" Mix)",Sunmachine,Dario G,307.4,0.533,0.408,1998ø
Carnaval de Paris,Football Chants & Songs,Dario G,239.5,0.533,0.408,1998ø
Be My Friend (Album Version),Sunmachine,Dario G,488.3,0.533,0.408,1998ø
