Wherever,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,244.9,0.672,0.478,2000ø
Walou,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,234.6,0.672,0.478,2000ø
The Bond Between Us,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,237.0,0.672,0.478,2000ø
Stick 'Em Up,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,223.8,0.672,0.478,2000ø
Peelo,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,213.3,0.672,0.478,2003ø
Mano A Mano,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,237.7,0.672,0.478,2000ø
Love Joint,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,262.9,0.672,0.478,2000ø
Life Is A Loom,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,242.4,0.672,0.478,2003ø
Introduction,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,202.7,0.672,0.478,2003ø
Ill Kebab,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,165.3,0.672,0.478,2000ø
If Only,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,260.3,0.672,0.478,2003ø
Heads To The Sky,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,345.9,0.672,0.478,2000ø
Guantanamo,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,206.3,0.672,0.478,2003ø
Gritty,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,269.5,0.672,0.478,2003ø
Fatimas Hand,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,255.8,0.672,0.478,2003ø
Eyes Never Dry,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,250.0,0.672,0.478,2003ø
El Moro,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,324.4,0.672,0.478,2003ø
Dirty Dirty East,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,229.5,0.672,0.478,2003ø
CPH Moro,Outland's Official,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,216.9,0.672,0.478,2000ø
Bumpy,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,204.3,0.672,0.478,2003ø
Aicha,Aicha,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,358.1,0.672,0.478,2003ø
A Donkey Named Cheetah,Bread & Barrels Of Water,Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,182.6,0.672,0.478,2003ø
