The Girl From Baltimore,The Girl From Baltimore,The Fleshtones,150.3,0.587,0.392,1980ø
She Looks Like A Woman,Beachhead,The Fleshtones,142.7,0.587,0.392,2005ø
Shadow-line,Shadow Line,The Fleshtones,190.5,0.587,0.392,1982ø
Right Side Of A Good Thing,Right Side Of A Good Thing,The Fleshtones,210.6,0.587,0.392,1983ø
Right on Woman,Do You Swing?,The Fleshtones,134.1,0.587,0.392,2003ø
Ride Your Pony,Ride Your Pony,The Fleshtones,197.0,0.587,0.392,1981ø
Pretty Pretty Pretty,Beachhead,The Fleshtones,171.2,0.587,0.392,2005ø
New York City,Take a Good Look,The Fleshtones,166.5,0.587,0.392,2008ø
Never Grew Up,Take a Good Look,The Fleshtones,155.2,0.587,0.392,2008ø
Let's See The Sun,Let's See The Sun,The Fleshtones,159.0,0.587,0.392,1981ø
Jet Set Fleshtones,Take a Good Look,The Fleshtones,166.4,0.587,0.392,2008ø
In My Mind,Do You Swing?,The Fleshtones,126.5,0.587,0.392,2003ø
I'm Back Again,Do You Swing?,The Fleshtones,158.2,0.587,0.392,2003ø
I Am What I Am,Beachhead,The Fleshtones,165.2,0.587,0.392,2005ø
Hit Me,Beachhead,The Fleshtones,119.0,0.587,0.392,2005ø
Headlock on My Heart,Do You Swing?,The Fleshtones,164.0,0.587,0.392,2003ø
Hard Lovin' Man,Do You Swing?,The Fleshtones,163.0,0.587,0.392,2003ø
Going Back To School,Take a Good Look,The Fleshtones,171.1,0.587,0.392,2008ø
Feels Good To Feel,Take a Good Look,The Fleshtones,141.7,0.587,0.392,2008ø
Double Dipper,Do You Swing?,The Fleshtones,147.9,0.587,0.392,2003ø
Destination Greenpoint,Do You Swing?,The Fleshtones,119.0,0.587,0.392,2003ø
Bigger & Better,Beachhead,The Fleshtones,152.6,0.587,0.392,2005ø
Alright,Do You Swing?,The Fleshtones,122.8,0.587,0.392,2003ø
