What Have I Done,What Have I Done,Anna Ternheim,203.9,0.699,0.471,2008ø
Tribute To Linn,Separation Road,Anna Ternheim,189.7,0.699,0.471,2006ø
Today Is A Good Day,Separation Road,Anna Ternheim,212.7,0.699,0.471,2006ø
To Be Gone,Somebody Outside,Anna Ternheim,166.9,0.699,0.471,2003ø
Such A Lonely Soul,Separation Road,Anna Ternheim,221.3,0.699,0.471,2006ø
Somebody's Outside,Somebody Outside,Anna Ternheim,252.5,0.699,0.471,2004ø
Shoreline,Somebody Outside,Anna Ternheim,308.7,0.699,0.471,2004ø
Oublie,Somebody Outside,Anna Ternheim,172.5,0.699,0.471,2004ø
One To Blame,Separation Road,Anna Ternheim,221.8,0.699,0.471,2006ø
No Subtle Men,Separation Road,Anna Ternheim,188.6,0.699,0.471,2006ø
My Secret,Somebody Outside,Anna Ternheim,297.6,0.699,0.471,2003ø
Lovers Dream,Separation Road,Anna Ternheim,259.0,0.699,0.471,2006ø
Little Lies,Girl Laying Down,Anna Ternheim,258.1,0.699,0.471,2005ø
I'll Follow You Tonight,Somebody Outside,Anna Ternheim,182.0,0.699,0.471,2003ø
I Say No,Lifestyle2 - Acoustic Vol 2,Anna Ternheim,244.4,0.699,0.471,2004ø
Halfway To Fivepoints,Separation Road,Anna Ternheim,170.3,0.699,0.471,2006ø
Girl Laying Down,Girl Laying Down,Anna Ternheim,185.1,0.699,0.471,2006ø
Feels Like Sand,Separation Road,Anna Ternheim,220.1,0.699,0.471,2006ø
China Girl,Separation Road,Anna Ternheim,232.5,0.699,0.471,2005ø
Calling Love,Separation Road,Anna Ternheim,250.4,0.699,0.471,2006ø
Bring Down Like I,Somebody Outside,Anna Ternheim,234.0,0.699,0.471,2004ø
Black Widow,Separation Road,Anna Ternheim,155.8,0.699,0.471,2006ø
Better Be,Somebody Outside,Anna Ternheim,253.7,0.699,0.471,2004ø
A Voice To Calm You Down,Somebody Outside,Anna Ternheim,168.9,0.699,0.471,2003ø
A French Love,Somebody Outside,Anna Ternheim,229.8,0.699,0.471,2004ø
