Stop ( Edit )( LP Version ),Rev,Jane's Addiction,234.0,0.615,0.55,1999ø
Wrong Girl,Strays,Jane's Addiction,272.4,0.712,0.535,2003ø
Whores [Live_ 1990],Kettle Whistle,Jane's Addiction,228.8,0.712,0.535,1997ø
Whores (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,246.3,0.712,0.535,2006ø
Up The Beach [Live_ 1990],Kettle Whistle,Jane's Addiction,207.8,0.712,0.535,1997ø
Up The Beach ( LP Version ),Nothing's Shocking,Jane's Addiction,181.0,0.712,0.535,1988ø
True Nature,Strays,Jane's Addiction,229.6,0.712,0.535,2003ø
To Match The Sun,Strays,Jane's Addiction,325.7,0.712,0.535,2003ø
Then She Did ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,498.4,0.712,0.535,1990ø
The Riches,Strays,Jane's Addiction,344.4,0.712,0.535,2003ø
Thank You Boys ( LP Version ),Nothing's Shocking,Jane's Addiction,64.6,0.712,0.535,1988ø
Ted_ Just Admit It... (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,443.6,0.712,0.535,2006ø
Superhero,Strays,Jane's Addiction,238.2,0.712,0.535,2003ø
Summertime Rolls (2006 Remastered Album Version ),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,380.7,0.712,0.535,2006ø
Summertime Rolls ( LP Version ),Nothing's Shocking,Jane's Addiction,380.3,0.615,0.535,1988ø
Suffer Some,Strays,Jane's Addiction,254.6,0.712,0.535,2003ø
Strays,Strays,Jane's Addiction,272.4,0.712,0.535,2003ø
Stop! [Live_ 1990],Kettle Whistle,Jane's Addiction,262.9,0.712,0.535,1997ø
Stop (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,253.8,0.712,0.535,2006ø
Stop ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,254.9,0.712,0.535,1990ø
Standing In The Shower... Thinking ( LP Version ),Nothing's Shocking,Jane's Addiction,185.2,0.712,0.535,1988ø
So What! ( LP Version ),Kettle Whistle,Jane's Addiction,259.2,0.712,0.535,1997ø
So What! ( Jane's House )( Deep Red's Dancefloor Dub ),So What!,Jane's Addiction,387.1,0.712,0.535,1997ø
So What! ( Deep Red's Voodoo Funk Mix ),So What!,Jane's Addiction,367.3,0.712,0.535,1997ø
So What! ( Deep Red's Radio Voodoo ),So What!,Jane's Addiction,229.2,0.712,0.535,1997ø
So What! ( Deep Red's Downbeat Addiction ),So What!,Jane's Addiction,221.2,0.712,0.535,1997ø
Slow Divers ( Live )( LP Version ),Kettle Whistle,Jane's Addiction,275.3,0.712,0.535,1997ø
Ripple,A Cabinet Of Curiosities,Jane's Addiction,279.2,0.615,0.535,1991ø
Price I Pay,Strays,Jane's Addiction,327.2,0.712,0.535,2003ø
Pigs In Zen (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,272.7,0.712,0.535,2006ø
Pig's In Zen ( LP Version ),Nothing's Shocking,Jane's Addiction,270.5,0.712,0.535,1988ø
Of Course ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,422.4,0.712,0.535,1990ø
Ocean Size ( LP Version ),Nothing's Shocking,Jane's Addiction,259.7,0.712,0.535,1988ø
Ocean Size ( Demo Version ),Kettle Whistle,Jane's Addiction,271.6,0.712,0.535,1997ø
Obvious ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,355.6,0.712,0.535,1990ø
No One's Leaving ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,181.1,0.712,0.535,1990ø
My Cat's Name Is Maceo (Demo) ( LP Version ),Kettle Whistle,Jane's Addiction,263.3,0.712,0.535,1997ø
Mountain Song (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,245.1,0.712,0.535,2006ø
Mountain Song ( LP Version ),Nothing's Shocking,Jane's Addiction,243.7,0.615,0.535,1988ø
Mountain Song ( Demo Version ),Kettle Whistle,Jane's Addiction,248.5,0.712,0.535,1997ø
Kettle Whistle ( LP Version ),Kettle Whistle,Jane's Addiction,467.5,0.712,0.535,1997ø
Jane Says ( LP Version ),Nothing's Shocking,Jane's Addiction,293.3,0.712,0.535,1988ø
Jane Says ( Live )( LP Version ),Kettle Whistle,Jane's Addiction,391.1,0.712,0.535,1997ø
Idiots Rule ( LP Version ),Nothing's Shocking,Jane's Addiction,181.1,0.712,0.535,1988ø
I Would For You (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,233.6,0.712,0.535,2006ø
Hypersonic,Strays,Jane's Addiction,212.7,0.712,0.535,2003ø
Had A Dad (LP Version),Nothing's Shocking,Jane's Addiction,225.2,0.712,0.535,1988ø
Had A Dad (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,226.0,0.712,0.535,2006ø
Had A Dad ( Studio Out-Take )( LP Version ),Kettle Whistle,Jane's Addiction,225.6,0.712,0.535,1997ø
Everybody's Friend,Strays,Jane's Addiction,198.8,0.712,0.535,2003ø
Classic Girl (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,309.9,0.712,0.535,2006ø
Classic Girl ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,307.8,0.712,0.535,1990ø
City ( Soul Kiss 88 ) ( LP Version ),Kettle Whistle,Jane's Addiction,150.4,0.712,0.535,1997ø
Been Caught Stealing ( Studio Out-Take) ( LP Version ),Kettle Whistle,Jane's Addiction,260.5,0.712,0.535,1997ø
Been Caught Stealing ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,214.2,0.712,0.535,1990ø
Ain't No Right [Live_ 1990],Kettle Whistle,Jane's Addiction,165.1,0.712,0.535,1997ø
Ain't No Right (2006 Remastered Edited Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,164.9,0.712,0.535,2006ø
Ain't No Right ( LP Version ),Ritual De Lo Habitual,Jane's Addiction,214.5,0.712,0.535,1990ø
