When I Fall,6 PICKS: Essential Radio Hits EP,Rachael Lampa,315.0,0.632,0.468,2004ø
Secret Place (LP Version),Live For You,Rachael Lampa,271.6,0.632,0.468,2002ø
Sanctuary (LP Version),Kaleidoscope,Rachael Lampa,231.5,0.632,0.468,2002ø
Lead Me (I'll Follow) (LP Version),Kaleidoscope,Rachael Lampa,167.9,0.632,0.468,2002ø
It's All About You (LP Version),Kaleidoscope,Rachael Lampa,203.2,0.632,0.468,2002ø
Hide Me (LP Version),Live For You,Rachael Lampa,239.6,0.632,0.468,2002ø
Give Your Heart Away (LP Version),Kaleidoscope,Rachael Lampa,256.0,0.632,0.468,2002ø
Free (LP Version),Live For You,Rachael Lampa,277.8,0.632,0.468,2002ø
For Your Love (LP Version),Kaleidoscope,Rachael Lampa,225.3,0.632,0.468,2002ø
Brand New Life (LP Version),Kaleidoscope,Rachael Lampa,224.4,0.632,0.468,2002ø
Blessed,Pope John Paul II - the Tribute Album,Rachael Lampa,243.0,0.632,0.468,2002ø
A Song For You (LP Version),Kaleidoscope,Rachael Lampa,296.8,0.632,0.468,2002ø
