The Plague,Release The Bats - A Tribute to the Birthday Party,The Chinese Stars,245.6,0.597,0.398,2006ø
The Fastest Horse Yet,Turbo Mattress,The Chinese Stars,165.2,0.597,0.398,2003ø
Sick Machine,Turbo Mattress,The Chinese Stars,173.0,0.597,0.398,2003ø
Passing Out Nails,A Rare Sensation,The Chinese Stars,168.6,0.597,0.398,2004ø
Panic In the Population,A Rare Sensation,The Chinese Stars,203.7,0.597,0.398,2004ø
Loose Traffic,Turbo Mattress,The Chinese Stars,157.1,0.597,0.398,2003ø
Hospital Fly,A Rare Sensation,The Chinese Stars,148.3,0.597,0.398,2004ø
Girls of Las Vegas,A Rare Sensation,The Chinese Stars,204.5,0.597,0.398,2004ø
Getting the Dead Card,A Rare Sensation,The Chinese Stars,185.5,0.597,0.398,2004ø
Eyes of the Secret North,Turbo Mattress,The Chinese Stars,167.8,0.597,0.398,2003ø
Electrodes In Captivity,A Rare Sensation,The Chinese Stars,196.1,0.597,0.398,2004ø
Dressed To Get Blessed,A Rare Sensation,The Chinese Stars,211.3,0.597,0.398,2004ø
Cheap City Halo,A Rare Sensation,The Chinese Stars,228.5,0.597,0.398,2004ø
Arson Hotline,Turbo Mattress,The Chinese Stars,211.8,0.597,0.398,2003ø
(Love) and the Electric Chair,A Rare Sensation,The Chinese Stars,212.0,0.597,0.398,2004ø
