You Say It's Fascination,Blue Screen of Death,DD|MM|YYYY,87.6,0.585,0.378,2005ø
Welcome to the Fortress of the Fluffy Love Cloud,Blue Screen of Death,DD|MM|YYYY,246.9,0.585,0.378,2005ø
We're Not Perfect,Blue Screen of Death,DD|MM|YYYY,127.3,0.585,0.378,2005ø
Twin Stars,Are They Masks?,DD|MM|YYYY,175.2,0.585,0.378,2007ø
Teenageartfagcancerfanclub,Blue Screen of Death,DD|MM|YYYY,143.7,0.585,0.378,2005ø
Sun Moon,Are They Masks?,DD|MM|YYYY,204.9,0.585,0.378,2007ø
Subjects,Are They Masks?,DD|MM|YYYY,71.9,0.585,0.378,2007ø
So Cold,Blue Screen of Death,DD|MM|YYYY,60.5,0.585,0.378,2005ø
Sanitary America,Are They Masks?,DD|MM|YYYY,378.6,0.585,0.378,2007ø
Pretty Good Song,Blue Screen of Death,DD|MM|YYYY,153.9,0.585,0.378,2005ø
On Mountain Tops,Blue Screen of Death,DD|MM|YYYY,94.7,0.585,0.378,2005ø
Objects,Are They Masks?,DD|MM|YYYY,176.0,0.585,0.378,2007ø
Newfound Interest,Are They Masks?,DD|MM|YYYY,224.1,0.585,0.378,2007ø
Mr. T Cereal,Are They Masks?,DD|MM|YYYY,300.4,0.585,0.378,2007ø
Lonely Treehouse,Blue Screen of Death,DD|MM|YYYY,119.6,0.585,0.378,2005ø
Live Sex Acts,Are They Masks?,DD|MM|YYYY,206.8,0.585,0.378,2007ø
Innermission,Blue Screen of Death,DD|MM|YYYY,62.6,0.585,0.378,2005ø
Imagine!,Are They Masks?,DD|MM|YYYY,183.7,0.585,0.378,2007ø
Gentle Dudes With Muscles,Are They Masks?,DD|MM|YYYY,116.4,0.585,0.378,2007ø
Fort Drippy,Are They Masks?,DD|MM|YYYY,39.5,0.585,0.378,2007ø
Dreaming Under the Illuminati,Blue Screen of Death,DD|MM|YYYY,266.0,0.585,0.378,2005ø
Digital Haircut,Black Square,DD|MM|YYYY,231.4,0.585,0.378,2009ø
Death and Taxes,Blue Screen of Death,DD|MM|YYYY,90.9,0.585,0.378,2005ø
Davemunthier@gmail.Com,Are They Masks?,DD|MM|YYYY,31.3,0.585,0.378,2007ø
Culture Industry,Blue Screen of Death,DD|MM|YYYY,175.3,0.585,0.378,2005ø
Cosmic Nightmare,Blue Screen of Death,DD|MM|YYYY,238.8,0.585,0.378,2005ø
Coin Wash,Are They Masks?,DD|MM|YYYY,70.5,0.585,0.378,2007ø
City_Traffic,Blue Screen of Death,DD|MM|YYYY,63.6,0.585,0.378,2005ø
Chibored,Blue Screen of Death,DD|MM|YYYY,89.4,0.585,0.378,2005ø
Cancerboy on Hash,Blue Screen of Death,DD|MM|YYYY,153.3,0.585,0.378,2005ø
Bronzage,Black Square,DD|MM|YYYY,227.4,0.585,0.378,2009ø
Blue Screen of Death,Blue Screen of Death,DD|MM|YYYY,51.1,0.585,0.378,2005ø
Birdtown,Black Square,DD|MM|YYYY,219.8,0.585,0.378,2009ø
Big Guy Was a Cat,Are They Masks?,DD|MM|YYYY,48.8,0.585,0.378,2007ø
Batman Guitar Clock,Are They Masks?,DD|MM|YYYY,138.6,0.585,0.378,2007ø
As Clouds,Are They Masks?,DD|MM|YYYY,156.7,0.585,0.378,2007ø
Are They Masks?,Are They Masks?,DD|MM|YYYY,33.9,0.585,0.378,2007ø
