Wish You Were Here,Lords Of Dogtown,Sparklehorse,416.0,0.701,0.543,1997ø
Weird Sisters,Vivadixiesubmarinetransmissionplot,Sparklehorse,298.4,0.701,0.543,1995ø
Waiting For Nothing,Distorted Ghost EP,Sparklehorse,149.9,0.701,0.543,2000ø
Tears On Fresh Fruit,Vivadixiesubmarinetransmissionplot,Sparklehorse,127.9,0.701,0.543,1995ø
Sunshine (International Version),Good Morning Spider,Sparklehorse,302.8,0.701,0.543,1998ø
Spirit Ditch,Vivadixiesubmarinetransmissionplot,Sparklehorse,203.3,0.701,0.543,1995ø
Someday I Will Treat You Good,Vivadixiesubmarinetransmissionplot,Sparklehorse,219.7,0.701,0.543,1995ø
Shade And Honey,Dreamt For Light Years In The Belly Of A Mountain,Sparklehorse,246.9,0.701,0.543,2006ø
Saturday,Vivadixiesubmarinetransmissionplot,Sparklehorse,146.2,0.701,0.543,1995ø
Saint Mary,Good Morning Spider,Sparklehorse,240.6,0.701,0.543,1998ø
Sad And Beautiful World,Vivadixiesubmarinetransmissionplot,Sparklehorse,211.4,0.701,0.543,1996ø
Rainmaker,Vivadixiesubmarinetransmissionplot,Sparklehorse,226.1,0.701,0.543,1995ø
Pig,Live at Lollapalooza 2007: Sparklehorse,Sparklehorse,143.3,0.701,0.543,1998ø
My Yoke Is Heavy,Distorted Ghost EP,Sparklehorse,211.0,0.701,0.543,2000ø
Mountains,Dreamt For Light Years In The Belly Of A Mountain,Sparklehorse,222.7,0.701,0.543,2006ø
Most Beautiful Widow In Town,Vivadixiesubmarinetransmissionplot,Sparklehorse,197.9,0.701,0.543,1995ø
More Yellow Birds,It's A Wonderful Life,Sparklehorse,293.1,0.701,0.543,2001ø
Maria's Little Elbows,Good Morning Spider,Sparklehorse,256.6,0.701,0.543,1998ø
Little Bastard Choo Choo,Vivadixiesubmarinetransmissionplot,Sparklehorse,39.7,0.701,0.543,1995ø
Knives Of Summertime,Don't Take My Sunshine Away,Sparklehorse,259.0,0.701,0.543,2006ø
King Of Nails,It's A Wonderful Life,Sparklehorse,258.7,0.701,0.543,2001ø
Junebug,Good Morning Spider,Sparklehorse,204.6,0.701,0.543,1998ø
Jack's Obsession,Nightmare Revisited,Sparklehorse,331.8,0.701,0.543,2008ø
It's A Wonderful Life,It's A Wonderful Life,Sparklehorse,179.2,0.701,0.543,2001ø
Hundreds Of Sparrows,Good Morning Spider,Sparklehorse,146.6,0.701,0.543,1998ø
Homecoming Queen,Vivadixiesubmarinetransmissionplot,Sparklehorse,215.5,0.701,0.543,1995ø
Heloise,Gold Day,Sparklehorse,68.3,0.701,0.543,2001ø
Heart Of Darkness,Vivadixiesubmarinetransmissionplot,Sparklehorse,111.5,0.701,0.543,1995ø
Happy Place,Distorted Ghost EP,Sparklehorse,136.0,0.701,0.543,1998ø
Happy Pig (Live),Distorted Ghost EP,Sparklehorse,240.2,0.701,0.543,1998ø
Happy Man (Memphis Version),Distorted Ghost EP,Sparklehorse,219.3,0.701,0.543,2000ø
Gold Day,Gold Day,Sparklehorse,256.3,0.701,0.543,2001ø
Ghost In The Sky,Dreamt For Light Years In The Belly Of A Mountain,Sparklehorse,208.4,0.701,0.543,2006ø
Getting It Wrong,Dreamt For Light Years In The Belly Of A Mountain,Sparklehorse,136.3,0.701,0.543,2006ø
Gasoline Horseys,Vivadixiesubmarinetransmissionplot,Sparklehorse,159.2,0.701,0.543,1995ø
Eyepennies,It's A Wonderful Life,Sparklehorse,328.0,0.701,0.543,2001ø
Devils New,It's A Wonderful Life,Sparklehorse,212.2,0.701,0.543,2001ø
Cow,Vivadixiesubmarinetransmissionplot,Sparklehorse,432.3,0.701,0.543,1995ø
Comfort Me,It's A Wonderful Life,Sparklehorse,301.4,0.701,0.543,2001ø
Come On In,Good Morning Spider,Sparklehorse,225.6,0.701,0.543,1998ø
Chaos Of The Galaxy/Happy Man (Medley),Good Morning Spider,Sparklehorse,270.1,0.701,0.543,1998ø
Box Of Stars (Part Two),Good Morning Spider,Sparklehorse,50.4,0.701,0.543,1998ø
Box Of Stars (Part One),Good Morning Spider,Sparklehorse,33.6,0.701,0.543,1998ø
Ballad Of A Cold Lost Marble,Vivadixiesubmarinetransmissionplot,Sparklehorse,46.5,0.701,0.543,1995ø
All Night Home,Good Morning Spider,Sparklehorse,223.1,0.701,0.543,1998ø
