You Came Back To Me,Trouble Man,Jimmy Thackery And The Drivers,226.5,0.401,0.332,2004ø
That's How I Feel,Drive To Survive,Jimmy Thackery And The Drivers,306.4,0.401,0.332,1996ø
Take Me With You When You Go,Switching Gears,Jimmy Thackery And The Drivers,212.6,0.401,0.332,1998ø
Still Raining_ Still Dreaming (Reprise),Switching Gears,Jimmy Thackery And The Drivers,50.4,0.401,0.332,1998ø
Slow Down Baby,Drive To Survive,Jimmy Thackery And The Drivers,230.0,0.401,0.332,1996ø
Sinner Street,The Essential Jimmy Thackery,Jimmy Thackery And The Drivers,256.6,0.401,0.332,2000ø
Rub On Up,Drive To Survive,Jimmy Thackery And The Drivers,251.9,0.401,0.332,1996ø
Never Enough,Sinner Street,Jimmy Thackery And The Drivers,267.5,0.401,0.332,2000ø
Monkey,Switching Gears,Jimmy Thackery And The Drivers,235.1,0.401,0.332,1998ø
Lovin' My Money,Sinner Street,Jimmy Thackery And The Drivers,305.6,0.401,0.332,2000ø
Long_ Lean & Lanky,Drive To Survive,Jimmy Thackery And The Drivers,212.9,0.401,0.332,1996ø
I've Got Other Plans,Switching Gears,Jimmy Thackery And The Drivers,185.4,0.401,0.332,1998ø
I Wouldn't Change A Thing,Switching Gears,Jimmy Thackery And The Drivers,355.7,0.401,0.332,1998ø
I Got To Be Strong,Switching Gears,Jimmy Thackery And The Drivers,212.6,0.401,0.332,1998ø
Grab The Rafters,Sinner Street,Jimmy Thackery And The Drivers,242.7,0.401,0.332,2000ø
Gin In The Morning,Switching Gears,Jimmy Thackery And The Drivers,213.7,0.401,0.332,1998ø
Empty Arms Motel,Empty Arms Motel,Jimmy Thackery And The Drivers,219.6,0.401,0.332,1995ø
Cool Guitars,The Essential Jimmy Thackery,Jimmy Thackery And The Drivers,223.8,0.401,0.332,1996ø
Chained To The Blues Line,Sinner Street,Jimmy Thackery And The Drivers,301.0,0.401,0.332,2000ø
Burford's Bop (Instrumental),Drive To Survive,Jimmy Thackery And The Drivers,249.2,0.401,0.332,1996ø
Bad News,Sinner Street,Jimmy Thackery And The Drivers,264.1,0.401,0.332,2000ø
