Way Up,Today's #1 Smooth Jazz Radio Hits!,Wayman Tisdale,246.0,0.602,0.4,2006ø
Watch Me Play,The Very Best of Wayman Tisdale,Wayman Tisdale,282.2,0.602,0.4,1996ø
Take The Lord Along With You (LP Version),Decisions,Wayman Tisdale,86.5,0.602,0.4,1998ø
Summer Breeze,The Very Best of Wayman Tisdale,Wayman Tisdale,401.0,0.602,0.4,1996ø
Sultry Summer (LP Version),Decisions,Wayman Tisdale,345.6,0.602,0.4,1998ø
Stay (LP Version),Face To Face,Wayman Tisdale,267.6,0.602,0.4,2001ø
Starship,The Very Best of Wayman Tisdale,Wayman Tisdale,344.5,0.602,0.4,2007ø
Show Me The Way (LP Version),Face To Face,Wayman Tisdale,316.7,0.602,0.4,2001ø
Say I Do (LP Version),Face To Face,Wayman Tisdale,240.1,0.602,0.4,2001ø
Ready Or Not (LP Version),Decisions,Wayman Tisdale,318.9,0.602,0.4,1998ø
Power Forward,The Very Best of Wayman Tisdale,Wayman Tisdale,269.0,0.602,0.4,2007ø
Passion,The Very Best of Wayman Tisdale,Wayman Tisdale,309.1,0.602,0.4,2007ø
My Only (LP Version),Decisions,Wayman Tisdale,268.0,0.602,0.4,1998ø
Mexicoco (LP Version),Decisions,Wayman Tisdale,192.4,0.602,0.4,1998ø
Loveplay (LP Version),Face To Face,Wayman Tisdale,259.1,0.602,0.4,2001ø
Louis (LP Version),Decisions,Wayman Tisdale,398.3,0.602,0.4,1998ø
Jazz In You,The Very Best of Wayman Tisdale,Wayman Tisdale,209.9,0.602,0.4,2007ø
In The Zone,The Very Best of Wayman Tisdale,Wayman Tisdale,298.9,0.602,0.4,1996ø
Fell In Love (LP Version),Decisions,Wayman Tisdale,274.2,0.602,0.4,1998ø
Face To Face (LP Version),Face To Face,Wayman Tisdale,251.8,0.602,0.4,2001ø
Early Morning Drive,The Very Best of Wayman Tisdale,Wayman Tisdale,338.0,0.602,0.4,1996ø
Circumstance,The Very Best of Wayman Tisdale,Wayman Tisdale,267.3,0.602,0.4,2007ø
Can't Hide Love (LP Version),Face To Face,Wayman Tisdale,224.3,0.602,0.4,2001ø
Breakfast With Tiffany (LP Version),Decisions,Wayman Tisdale,280.3,0.602,0.4,1998ø
Brazilia (LP Version),Face To Face,Wayman Tisdale,238.8,0.602,0.4,2001ø
Brand New (LP Version),Face To Face,Wayman Tisdale,255.7,0.602,0.4,2001ø
Bass Man (LP Version),Decisions,Wayman Tisdale,315.1,0.602,0.4,1998ø
African Prince (LP Version),Decisions,Wayman Tisdale,238.7,0.602,0.4,1998ø
