Ubangi Stomp,Go Cat Go! A Tribute to Stray Cats,Batmobile,111.5,0.633,0.431,2006ø
Straight Back To Hormoneville,Crosscontamination,Batmobile,169.6,0.633,0.431,2008ø
Shoot shoot,Bail set at $6M,Batmobile,204.6,0.633,0.431,1988ø
Mystery street,Bail set at $6M,Batmobile,139.2,0.633,0.431,1988ø
Magic word called love,Bail set at $6M,Batmobile,220.5,0.633,0.431,1988ø
Kiss me now,Bail set at $6M,Batmobile,195.5,0.633,0.431,1988ø
Killerspeed,Crosscontamination,Batmobile,132.3,0.633,0.431,2008ø
Hellalujah,Crosscontamination,Batmobile,154.8,0.633,0.431,2008ø
Hang on,Bail set at $6M,Batmobile,128.3,0.633,0.431,1988ø
Gorilla rock,Bail set at $6M,Batmobile,150.2,0.633,0.431,1988ø
Go Satan Go,Crosscontamination,Batmobile,128.9,0.633,0.431,2008ø
Gates of Heaven,Bail set at $6M,Batmobile,214.0,0.633,0.431,1988ø
Cold Sweat,Stomping At The Klub Foot Volume 3,Batmobile,199.5,0.633,0.431,1987ø
Can't find my way back home,Bail set at $6M,Batmobile,160.0,0.633,0.431,1988ø
Calamity man,Bail set at $6M,Batmobile,217.9,0.633,0.431,1988ø
Big Toy,Crosscontamination,Batmobile,151.2,0.633,0.431,2008ø
Ace of spades,Bail set at $6M,Batmobile,168.4,0.633,0.431,1988ø
100 pounds of trouble,Bail set at $6M,Batmobile,198.1,0.633,0.431,1988ø
