Gimmie Some Company,Let's Just Be,Joseph Arthur & The Lonely Astronauts,184.0,0.744,0.521,2007ø
Turn You On,Temporary People,Joseph Arthur & The Lonely Astronauts,281.4,0.744,0.424,2008ø
Sunrise Dolls,Temporary People,Joseph Arthur & The Lonely Astronauts,238.0,0.744,0.424,2008ø
Say Goodbye,Temporary People,Joseph Arthur & The Lonely Astronauts,243.0,0.744,0.424,2008ø
Heart's A Soldier,Temporary People,Joseph Arthur & The Lonely Astronauts,241.9,0.557,0.424,2008ø
Dead Savior,Temporary People,Joseph Arthur & The Lonely Astronauts,217.4,0.744,0.424,2008ø
Winter Blades,Temporary People,Joseph Arthur & The Lonely Astronauts,229.7,0.557,0.388,2008ø
Temporary People,Temporary People,Joseph Arthur & The Lonely Astronauts,306.2,0.557,0.388,2008ø
Look Into the Sky,Temporary People,Joseph Arthur & The Lonely Astronauts,250.0,0.557,0.388,2008ø
Good Friend,Temporary People,Joseph Arthur & The Lonely Astronauts,224.8,0.744,0.388,2008ø
A Dream Is Longer Than The Night,Temporary People,Joseph Arthur & The Lonely Astronauts,145.7,0.557,0.388,2008ø
