War A Gwaan,Murder She Wrote Single,Chaka Demus & Pliers,240.3,0.611,0.4,1996ø
Tracy,Tease Me,Chaka Demus & Pliers,229.4,0.611,0.4,1993ø
Tease Me,Tease Me,Chaka Demus & Pliers,246.4,0.611,0.4,1993ø
Sweetie,Sly & Robbie present Hail Up The Taxi,Chaka Demus & Pliers,237.3,0.611,0.4,1995ø
She Don't Let Nobody,Tease Me,Chaka Demus & Pliers,246.5,0.611,0.4,1993ø
Roadrunner,Tease Me,Chaka Demus & Pliers,243.5,0.611,0.4,1993ø
One Nation Under A Groove,Tease Me,Chaka Demus & Pliers,258.2,0.611,0.4,1993ø
Nuh Betta Nuh Deh,Tease Me,Chaka Demus & Pliers,239.2,0.611,0.4,1993ø
Murder She Wrote,Reggae Roots 1972-1995 Vol.5,Chaka Demus & Pliers,244.6,0.611,0.4,1992ø
Let's Make It Tonight,Tease Me,Chaka Demus & Pliers,232.6,0.611,0.4,1993ø
I Wanna Be Your Man,Poetic Justice: Music from the Motion Picture,Chaka Demus & Pliers,235.8,0.611,0.4,1993ø
Gal Wine,Tease Me,Chaka Demus & Pliers,216.1,0.611,0.4,1993ø
Friday Evening,Tease Me,Chaka Demus & Pliers,235.9,0.611,0.4,1993ø
Bam Bam,Tease Me,Chaka Demus & Pliers,244.7,0.611,0.4,1993ø
