Temple of Dreams (Club Mix),Temple of Dreams,Future Breeze,443.4,0.536,0.371,2001ø
Temple Of Dreams,Classic Big Tunes,Future Breeze,184.9,0.536,0.371,1999ø
Read My Lips,Why?,Future Breeze,357.1,0.536,0.371,1995ø
Phunkment,Why?,Future Breeze,395.5,0.536,0.371,1997ø
Out Of The Blue (Progressive Trance Mix),Out Of The Blue,Future Breeze,400.8,0.536,0.371,2005ø
Ocean of Eternity (Extended Vocal Mix),Ocean of Eternity,Future Breeze,396.7,0.536,0.371,2002ø
Ocean Of Eternity,Classic Big Tunes 2009,Future Breeze,387.6,0.536,0.371,2002ø
No Need,Why?,Future Breeze,292.2,0.536,0.371,1997ø
Keep The Fire Burnin',Why?,Future Breeze,371.9,0.536,0.371,1997ø
Illusion,Why?,Future Breeze,303.7,0.536,0.371,1997ø
Heaven above (Rave Mix),Heaven above / Frequency,Future Breeze,358.1,0.536,0.371,2002ø
Fire In My Heart,Why?,Future Breeze,397.8,0.536,0.371,1997ø
Feel,Why?,Future Breeze,442.6,0.536,0.371,1997ø
