You Make Me Feel Brand New,Trojan Lovers Collection,Inner Circle,233.1,0.668,0.41,1974ø
Tell Me Lies,Jamaika Me Crazy,Inner Circle,205.6,0.668,0.41,1999ø
Talk About,Jamaika Me Crazy,Inner Circle,222.1,0.668,0.41,1999ø
Sweet Jamaica,Jamaika Me Crazy,Inner Circle,241.8,0.668,0.41,1999ø
Summer Love,Jamaika Me Crazy,Inner Circle,175.3,0.668,0.41,1998ø
Speak My Language (feat. Speech),Jamaika Me Crazy,Inner Circle,248.0,0.668,0.41,1998ø
Ob-La-di-Ob-la-da Extended Dance Mix,Jamaika Me Crazy,Inner Circle,242.2,0.668,0.41,1999ø
Not about Romance,Jamaika Me Crazy,Inner Circle,216.3,0.668,0.41,1998ø
Mother Theresa,Jamaika Me Crazy,Inner Circle,332.5,0.668,0.41,1999ø
Jah Jah is Calin,Jamaika Me Crazy,Inner Circle,211.1,0.668,0.41,1999ø
Go Crazy,Jamaika Me Crazy,Inner Circle,225.1,0.668,0.41,1999ø
Black And White,Jamaika Me Crazy,Inner Circle,222.3,0.668,0.41,1999ø
Bed's Too Big Without You,Spirits In The Material World: A Reggae Tribute To The Police,Inner Circle,227.8,0.668,0.41,2008ø
