Reincarnation Of A Love Bird (Take 1),Candid Dolphy,Eric Dolphy,559.5,0.695,0.513,1960ø
Sketch Of Melba,Out There,Eric Dolphy,276.8,0.716,0.454,1995ø
Out There,Out There,Eric Dolphy,412.7,0.716,0.454,1997ø
Ode To Charlie Parker,Far Cry,Eric Dolphy,522.8,0.716,0.454,1962ø
Mrs. Parker Of K.C. (Bird's Mother),Far Cry,Eric Dolphy,481.0,0.716,0.454,1962ø
Miss Ann,Eric Dophy In Eurpoe_ Vol. 2,Eric Dolphy,344.3,0.716,0.454,1962ø
Les,Prestige Profiles,Eric Dolphy,312.3,0.796,0.454,1997ø
Inner Flight No. 2,Other Aspects,Eric Dolphy,245.6,0.716,0.454,1987ø
G.W. (Live),The Illinois Concert,Eric Dolphy,460.6,0.716,0.454,1999ø
Fire Waltz,Best Of Eric Dolphy_ The,Eric Dolphy,477.5,0.716,0.454,1961ø
Feathers,The Essential Eric Dolphy,Eric Dolphy,300.1,0.716,0.454,1997ø
Far Cry,Best Of Eric Dolphy_ The,Eric Dolphy,232.5,0.716,0.454,1962ø
Dolphy-N,Other Aspects,Eric Dolphy,408.6,0.716,0.454,1987ø
Come Sunday,Iron Man,Eric Dolphy,384.8,0.716,0.454,1969ø
April Fool,Outward Bound,Eric Dolphy,248.3,0.716,0.454,1997ø
17 West,Out There,Eric Dolphy,288.2,0.716,0.454,1995ø
245,Outward Bound,Eric Dolphy,408.2,0.716,0.454,1997ø
South Street Exit (Live),The Illinois Concert,Eric Dolphy,449.1,0.716,0.453,1999ø
Something Sweet_ Something Tender (Live),The Illinois Concert,Eric Dolphy,88.8,0.716,0.453,1999ø
On Green Dolphin Street,Best Of Eric Dolphy_ The,Eric Dolphy,343.9,0.716,0.453,1997ø
Oleo,Eric Dolphy In Europe_ Vol. 1,Eric Dolphy,455.1,0.716,0.453,1997ø
Ode to C.P.,Iron Man,Eric Dolphy,485.7,0.716,0.453,1969ø
God Bless The Child,Eric Dolphy In Europe_ Vol. 1,Eric Dolphy,428.7,0.716,0.453,1997ø
