Vauriot,Vauriot,Apulanta,227.7,0.569,0.417,2008ø
Hallaa,Aivan kuin kaikki muutkin,Apulanta,219.5,0.569,0.417,1999ø
0010 / Kaupungissa,Aivan kuin kaikki muutkin,Apulanta,477.5,0.569,0.417,1998ø
9,Aivan kuin kaikki muutkin,Apulanta,124.3,0.569,0.417,1998ø
7,Aivan kuin kaikki muutkin,Apulanta,260.7,0.569,0.417,1998ø
6,Aivan kuin kaikki muutkin,Apulanta,271.2,0.569,0.417,1998ø
5,Aivan kuin kaikki muutkin,Apulanta,324.8,0.569,0.417,1998ø
4,Aivan kuin kaikki muutkin,Apulanta,227.2,0.569,0.417,1998ø
3,Aivan kuin kaikki muutkin,Apulanta,177.7,0.569,0.417,1998ø
2,Aivan kuin kaikki muutkin,Apulanta,198.4,0.569,0.417,1998ø
1,Aivan kuin kaikki muutkin,Apulanta,263.5,0.569,0.417,1998ø
