X-Bass Files (TV Bass Version),Bass 2000: Mission 1,Bass Factory 808,251.6,0.256,0.245,1997ø
Woofer Warm Up,It's Bass Time,Bass Factory 808,96.2,0.256,0.245,1995ø
Subsonic Frequencies,Bass Apocolypse - World Bass Wars Volume 1,Bass Factory 808,186.8,0.256,0.245,1998ø
Slow Bass,It's Bass Time,Bass Factory 808,270.0,0.256,0.245,1995ø
Open Your Mind,It's Bass Time,Bass Factory 808,238.0,0.256,0.245,1995ø
Inner Mission,It's Bass Time,Bass Factory 808,78.6,0.256,0.245,1995ø
Hypnotize Me,Bass Apocolypse - World Bass Wars Volume 1,Bass Factory 808,183.7,0.256,0.245,1995ø
For Your Quad Only,It's Bass Time,Bass Factory 808,187.3,0.256,0.245,1995ø
Bass Transmission,It's Bass Time,Bass Factory 808,297.3,0.256,0.245,1995ø
Bass Time,It's Bass Time,Bass Factory 808,186.3,0.256,0.245,1995ø
Bass Station 808,It's Bass Time,Bass Factory 808,243.0,0.256,0.245,1995ø
Bass Ship Earth,It's Bass Time,Bass Factory 808,222.5,0.256,0.245,1995ø
