Start Rockin',Start Rockin',Antiloop,232.1,0.602,0.428,1999ø
Purpose In Life,Purpose In Life,Antiloop,304.1,0.602,0.419,1996ø
In My Mind,In My Mind,Antiloop,449.7,0.602,0.419,1997ø
Beauty And The Beast,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,289.6,0.602,0.419,1995ø
We Are Not Brothers,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,403.7,0.602,0.417,1995ø
Trespasser,LP,Antiloop,468.5,0.602,0.417,1997ø
Talkin' Love With Nature,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,418.4,0.602,0.417,1995ø
Polythene,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,274.8,0.602,0.417,1995ø
Nowhere To Hide,LP,Antiloop,213.7,0.602,0.417,1997ø
At The Rebels Room,LP,Antiloop,477.1,0.602,0.417,1997ø
Analogue Relaxation,LP,Antiloop,367.3,0.602,0.417,1997ø
