You Said,Hot & Wet,112,257.3,0.767,0.514,2003ø
Why Can't We Get Along,Pleasure & Pain,112,255.4,0.767,0.514,2005ø
What The Hell Do You Want,Pleasure & Pain,112,328.1,0.767,0.514,2005ø
We Goin' Be Alright,Pleasure & Pain,112,95.9,0.767,0.514,2005ø
Unbelievable,Hot & Wet,112,259.0,0.767,0.514,2003ø
U Already Know,Pleasure & Pain,112,198.9,0.767,0.514,2005ø
That's How Close We Are,Pleasure & Pain,112,235.4,0.767,0.514,2005ø
Slip Away,Hot & Wet,112,282.3,0.767,0.514,2003ø
Say Yes,Hot & Wet,112,243.8,0.767,0.514,2003ø
Nowhere,Pleasure & Pain,112,234.4,0.767,0.514,2005ø
My Mistakes,Pleasure & Pain,112,279.2,0.767,0.514,2005ø
Man's World,Hot & Wet,112,308.1,0.767,0.514,2003ø
Let This Go,Pleasure & Pain,112,239.9,0.767,0.514,2005ø
Last To Know,Pleasure & Pain,112,239.8,0.767,0.514,2005ø
Knock U Down (Interlude),Hot & Wet,112,106.8,0.767,0.514,2003ø
Knock U Down,Hot & Wet,112,265.0,0.767,0.514,2003ø
Intro/Medley (Hot & Wet),Hot & Wet,112,153.8,0.767,0.514,2003ø
I'm Sorry (Interlude),Pleasure & Pain,112,46.9,0.767,0.514,2005ø
I Belong To U,Hot & Wet,112,85.5,0.767,0.514,2003ø
God Knows,Pleasure & Pain,112,308.5,0.767,0.514,2005ø
Give It To Me,Hot & Wet,112,240.9,0.767,0.514,2003ø
Everyday,Hot & Wet,112,271.1,0.767,0.514,2003ø
Damn,Pleasure & Pain,112,223.3,0.767,0.514,2005ø
All My Love,Hot & Wet,112,283.2,0.767,0.514,1998ø
