Wrong Bike,Kite Vs. Obelisk,Ral Partha Vogelbacher,126.6,0.355,0.294,2002ø
Three Gorges,Shrill Falcons,Ral Partha Vogelbacher,161.9,0.355,0.294,2006ø
Swimming With the Sturgeon,Shrill Falcons,Ral Partha Vogelbacher,331.4,0.355,0.294,2006ø
Silver Mines,Shrill Falcons,Ral Partha Vogelbacher,191.1,0.355,0.294,2006ø
Party After the Wake,Shrill Falcons,Ral Partha Vogelbacher,270.5,0.355,0.294,2006ø
New Happy Fawn,Shrill Falcons,Ral Partha Vogelbacher,419.3,0.355,0.294,2006ø
Messy Artist,Shrill Falcons,Ral Partha Vogelbacher,139.5,0.355,0.294,2006ø
Lonely Dreadnought,Shrill Falcons,Ral Partha Vogelbacher,169.5,0.355,0.294,2006ø
Garden Assault,Shrill Falcons,Ral Partha Vogelbacher,182.9,0.355,0.294,2006ø
Birthday In Beijing,Shrill Falcons,Ral Partha Vogelbacher,210.7,0.355,0.294,2006ø
Aeroflot,Shrill Falcons,Ral Partha Vogelbacher,303.9,0.355,0.294,2006ø
