The Gift Of Life,Rhythms Of Life,Bruce BecVar,265.3,0.471,0.34,1996ø
Spanish Rose,Arriba,Bruce BecVar,287.5,0.471,0.34,1993ø
Roar of the Lioness,Arriba,Bruce BecVar,234.2,0.471,0.34,1993ø
Noche Pintada (Painted Night),Arriba,Bruce BecVar,199.4,0.471,0.34,1993ø
Istanbul,Arriba,Bruce BecVar,210.3,0.471,0.34,1993ø
Heart of the Moon (Corazone del Luna),Arriba,Bruce BecVar,293.5,0.471,0.34,1993ø
Fuego (Fire),Arriba,Bruce BecVar,285.8,0.471,0.34,1993ø
Forever In My Heart,Arriba,Bruce BecVar,313.5,0.471,0.34,1993ø
Flamenco Highlife,Arriba,Bruce BecVar,297.2,0.471,0.34,1993ø
Flamenco Flambe,Arriba,Bruce BecVar,300.4,0.471,0.34,1993ø
Danza de Amor (Love Dance),Arriba,Bruce BecVar,137.1,0.471,0.34,1993ø
