Supercafone,Supercafone ('99 Mix),Piotta,228.8,0.543,0.411,1999ø
Spingo io,Ciclico / Spingo io (Remix '98),Piotta,215.1,0.543,0.411,1998ø
Single,La grande onda (Album),Piotta,205.3,0.543,0.411,2002ø
Ragga,La grande onda (Album),Piotta,172.5,0.543,0.411,2002ø
PS2,La grande onda (Album),Piotta,182.8,0.543,0.411,2002ø
Ladro di te,Ladro di te,Piotta,252.8,0.543,0.411,2004ø
La mossa del giaguaro,La mossa del giaguaro,Piotta,229.8,0.543,0.411,2000ø
La grande onda,La grande onda (CD Single),Piotta,166.7,0.543,0.411,2002ø
Il mondo della gente,Democrazia del microfono,Piotta,186.2,0.543,0.411,2000ø
Fra il palco & lo studio,Democrazia del microfono,Piotta,77.9,0.543,0.411,2000ø
Femme fatale,Democrazia del microfono,Piotta,207.3,0.543,0.411,2000ø
Eurocontanti,La grande onda (Album),Piotta,505.2,0.543,0.411,2002ø
Casablanca Beat,La grande onda (Album),Piotta,192.7,0.543,0.411,2002ø
BossaRoma,La grande onda (Album),Piotta,183.8,0.543,0.411,2002ø
