Visions of the Future,Visions of the Future The Remixes,Gene Farris,388.8,0.562,0.371,1996ø
The Grail,This Is My Religion,Gene Farris,383.1,0.562,0.371,2000ø
Mainline Disco,Mainline Disco EP,Gene Farris,360.4,0.562,0.371,1998ø
Here I am Baby,Copa Cabana EP,Gene Farris,452.5,0.562,0.371,1998ø
Get on the Floor,Mainline Disco EP,Gene Farris,366.4,0.562,0.371,1998ø
Do U Want Me,Mainline Disco,Gene Farris,370.9,0.562,0.371,1998ø
4 Minutes of Pleasure,Mainline Disco EP,Gene Farris,224.8,0.562,0.371,1997ø
The Gospel,This Is My Religion,Gene Farris,360.2,0.562,0.367,2000ø
Smoke Session Pause,This Is My Religion,Gene Farris,210.5,0.562,0.367,1997ø
Ricky Ricardo,Copa Cabana EP,Gene Farris,425.1,0.562,0.367,1998ø
Origins,This Is My Religion,Gene Farris,390.8,0.562,0.367,2000ø
I Wanna Love You,This Is My Religion,Gene Farris,441.5,0.562,0.367,2000ø
Ew 7712,A Place 4 Me,Gene Farris,376.5,0.562,0.367,1997ø
A Place 4 Me,A Place 4 Me,Gene Farris,330.2,0.562,0.367,1997ø
