Solstice,The Speed By Which We Fall,Landing,258.9,0.534,0.409,2004ø
Ruins Of The Morning (So Cold),Seasons,Landing,524.9,0.534,0.409,2002ø
In A Car,Seasons,Landing,241.0,0.534,0.409,2002ø
How Did You Feel?,Oceanless,Landing,545.3,0.534,0.409,2001ø
Harmonies,Oceanless,Landing,234.0,0.534,0.409,2001ø
First Snow,Seasons,Landing,420.8,0.534,0.409,2002ø
Fall Song,Seasons,Landing,162.7,0.534,0.409,2002ø
Encircled (Through Fallen Leaves),Seasons,Landing,327.0,0.534,0.409,2002ø
Clarke Street,Seasons,Landing,294.7,0.534,0.409,2002ø
Blue Sky Away,Seasons,Landing,165.3,0.534,0.409,2002ø
...,Oceanless,Landing,248.6,0.534,0.409,2001ø
