Yucca Man,Wasted In American,Love|Hate,175.6,0.491,0.348,1991ø
Wish I Had More Time,Greatest & Latest,Love|Hate,163.6,0.491,0.348,1997ø
Why Do You Think They Call It Dope?,Blackout In The Red Room,Love|Hate,235.3,0.491,0.348,1990ø
Wasted in America,Greatest & Latest,Love|Hate,214.9,0.491,0.348,1992ø
Walk On,Greatest & Latest,Love|Hate,192.5,0.491,0.348,1997ø
Tumbleweed,Blackout In The Red Room,Love|Hate,209.3,0.491,0.348,1990ø
Tranquilizer,Wasted In American,Love|Hate,234.1,0.491,0.348,1992ø
Time's Up,Wasted In American,Love|Hate,218.6,0.491,0.348,1992ø
Superfragilistic,Greatest & Latest,Love|Hate,139.7,0.491,0.348,1995ø
Straightjacket,Blackout In The Red Room,Love|Hate,192.9,0.491,0.348,1990ø
Spit,Wasted In American,Love|Hate,174.1,0.491,0.348,1992ø
Social Sidewinder,Wasted In American,Love|Hate,213.5,0.491,0.348,1992ø
Slutsy Tipsy,Blackout In The Red Room,Love|Hate,187.9,0.491,0.348,1990ø
Slave Girl,Blackout In The Red Room,Love|Hate,230.7,0.491,0.348,1990ø
She's An Angel,Blackout In The Red Room,Love|Hate,247.7,0.491,0.348,1990ø
Rock Queen,Blackout In The Red Room,Love|Hate,139.0,0.491,0.348,1990ø
One More Round,Blackout In The Red Room,Love|Hate,200.9,0.491,0.348,1990ø
Miss America,Wasted In American,Love|Hate,208.3,0.491,0.348,1992ø
Mary Jane,Blackout In The Red Room,Love|Hate,269.9,0.491,0.348,1990ø
Hell_ Ca._ Pop. 4,Blackout In The Red Room,Love|Hate,164.6,0.491,0.348,1990ø
Happy Hour,Wasted In American,Love|Hate,207.3,0.491,0.348,1992ø
Fuel To Run,Blackout In The Red Room,Love|Hate,197.7,0.491,0.348,1990ø
Fuel,Greatest & Latest,Love|Hate,171.9,0.491,0.348,1992ø
Evil Twin,Wasted In American,Love|Hate,239.7,0.491,0.348,1991ø
Driver,Greatest & Latest,Love|Hate,175.6,0.491,0.348,1997ø
Dope,Greatest & Latest,Love|Hate,255.5,0.491,0.348,2007ø
Don't Fuck With Me,Wasted In American,Love|Hate,204.4,0.491,0.348,1992ø
Don't Be Afraid,Wasted In American,Love|Hate,271.9,0.491,0.348,1992ø
Cream,Wasted In American,Love|Hate,266.4,0.491,0.348,1992ø
Blackout In  The Red Room,Blackout In The Red Room,Love|Hate,151.9,0.491,0.348,1990ø
