When I Was Sixteen,When I Was Sixteen,Tomcraft,372.4,0.666,0.35,2009ø
Silence (Radio Mix),Silence,Tomcraft,241.5,0.666,0.35,2000ø
Overdose (Tony H Remix),Overdose,Tomcraft,388.0,0.666,0.35,2002ø
Overdose (Lady Radio Mix),Overdose,Tomcraft,238.9,0.666,0.35,2002ø
Overdose (Lady Mix),Overdose,Tomcraft,383.1,0.666,0.35,2002ø
Overdose (Killa Vocal Mix),Overdose,Tomcraft,413.8,0.666,0.35,2002ø
Overdose (Killa Radio Mix),Overdose,Tomcraft,238.5,0.666,0.35,2002ø
Overdose (Killa Mix),Overdose,Tomcraft,422.5,0.666,0.35,2002ø
Loneliness (Tillmannn Uhrmacher Remix),Loneliness,Tomcraft,544.5,0.666,0.35,2002ø
Loneliness (Radio Cut),Loneliness,Tomcraft,228.7,0.666,0.35,2002ø
Loneliness (MUC Cut),Loneliness,Tomcraft,353.6,0.666,0.35,2002ø
Loneliness,Euphoria: A Decade of Trance Anthems,Tomcraft,471.5,0.666,0.35,2002ø
Katowice,Katowice/Cold As Chrome,Tomcraft,427.1,0.666,0.35,2006ø
Da Disco (JCA Remix),The Annual Spring 1,Tomcraft,234.3,0.666,0.35,2006ø
Cold As Chrome,Katowice/Cold As Chrome,Tomcraft,334.1,0.666,0.35,2006ø
Boogie Nights (Like An Eagle),Boogie Nights (Like An Eagle),Tomcraft,420.8,0.666,0.35,2008ø
Bavaria,Great Summergames Stuff,Tomcraft,351.4,0.666,0.35,2008ø
