Zamba Por Vos,Ey Paisano,Raly Barrionuevo,221.5,0.341,0.315,2008ø
Sus misterios,Noticias de Mi Alma,Raly Barrionuevo,261.4,0.341,0.315,2007ø
Noticias de mi alma,Noticias de Mi Alma,Raly Barrionuevo,229.5,0.341,0.315,2007ø
Las coplas del campo,Noticias de Mi Alma,Raly Barrionuevo,135.0,0.341,0.315,2007ø
La gente del campo,Noticias de Mi Alma,Raly Barrionuevo,167.0,0.341,0.315,2007ø
Juan Labrador,Noticias de Mi Alma,Raly Barrionuevo,189.6,0.341,0.315,2007ø
Herida azul,Noticias de Mi Alma,Raly Barrionuevo,267.1,0.341,0.315,2007ø
Esta historia,Noticias de Mi Alma,Raly Barrionuevo,221.0,0.341,0.315,2007ø
Donde alguien me espera,Noticias de Mi Alma,Raly Barrionuevo,133.1,0.341,0.315,2007ø
Chacarera de la espada,Noticias de Mi Alma,Raly Barrionuevo,202.5,0.341,0.315,2007ø
A la libertad,Noticias de Mi Alma,Raly Barrionuevo,162.6,0.341,0.315,2007ø
