Too Much Too Quickly,Days of My Escape,Travel By Sea,223.1,0.503,0.377,2007ø
This Will Pass,Shadows Rise,Travel By Sea,233.1,0.503,0.377,2006ø
I Won't Let You Down,Shadows Rise,Travel By Sea,173.9,0.503,0.377,2006ø
Hopefully,Shadows Rise,Travel By Sea,146.5,0.503,0.377,2006ø
Eastern Angel,Shadows Rise,Travel By Sea,116.3,0.503,0.377,2006ø
Deserts Comes Alive,Shadows Rise,Travel By Sea,215.4,0.503,0.377,2006ø
Consequence (LTS),Shadows Rise,Travel By Sea,298.9,0.503,0.377,2006ø
Complete Shakeup,Shadows Rise,Travel By Sea,231.2,0.503,0.377,2006ø
Come Back To You,Shadows Rise,Travel By Sea,237.6,0.503,0.377,2006ø
Can't Be Wrong,Shadows Rise,Travel By Sea,230.8,0.503,0.377,2006ø
Brightside,Shadows Rise,Travel By Sea,140.9,0.503,0.377,2006ø
