What You Do Is Right,Here Comes Treble,Baker Brothers,272.7,0.478,0.385,2008ø
The Mexican featuring Katie Holmes,Avid Sounds,Baker Brothers,358.6,0.478,0.385,2009ø
Street Player featuring Talc,Avid Sounds,Baker Brothers,369.4,0.478,0.385,2009ø
Space Funk,Family Tree,Baker Brothers,263.2,0.478,0.385,2009ø
Shack Up,Avid Sounds,Baker Brothers,195.9,0.478,0.385,2009ø
Rock Creek Park,Avid Sounds,Baker Brothers,268.9,0.478,0.385,2009ø
Lady Day And John Coltrane,Avid Sounds,Baker Brothers,256.5,0.478,0.385,2009ø
If You Want Me To Stay featuring Hamish Stuart,Avid Sounds,Baker Brothers,239.8,0.478,0.385,2009ø
Fly Like An Eagle featuring Matt Mcnaughton,Avid Sounds,Baker Brothers,315.7,0.478,0.385,2009ø
Family Tree featuring Vanessa Freeman,Avid Sounds,Baker Brothers,353.8,0.478,0.385,2009ø
Couldn?t Get It Right,Avid Sounds,Baker Brothers,218.0,0.478,0.385,2009ø
Cola Bottle Baby,Avid Sounds,Baker Brothers,298.8,0.478,0.385,2009ø
