Your Love,Dave Pearce Best of the Dance Years 1988 - 1992,Inner City,372.2,0.609,0.432,1996ø
Whatcha Gonna Do With My Lovin' (Def Mix),Paradise Remixed,Inner City,505.5,0.609,0.432,1990ø
Whatcha Gonna Do With My Lovin',Good Life - The Best Of Inner City,Inner City,251.8,0.609,0.432,1989ø
What Does It Take,Fire,Inner City,212.8,0.609,0.432,1990ø
Vibes,Fire,Inner City,224.3,0.609,0.432,1990ø
Unity (Reese North Of Watford Mix),Praise,Inner City,452.3,0.609,0.432,1992ø
Till We Meet Again (Reese In Rio Mix),Praise,Inner City,380.6,0.609,0.432,1992ø
Till We Meet Again,Fire,Inner City,317.5,0.609,0.432,2001ø
The Paradise Megamix,Paradise Remixed,Inner City,426.2,0.609,0.432,1990ø
That Man (He's All Mine),Good Life - The Best Of Inner City,Inner City,188.4,0.609,0.432,1990ø
Slaves Of Dance,Praise,Inner City,235.0,0.609,0.432,1992ø
Set Your Body Free,Paradise,Inner City,243.1,0.609,0.432,1989ø
Save The Children,Praise,Inner City,268.0,0.609,0.432,1992ø
Praise,Praise,Inner City,315.3,0.609,0.432,1992ø
Power Of Passion,Paradise,Inner City,298.6,0.609,0.432,1989ø
Pennies From Heaven (Kevin's Tunnel Mix),Testament '93,Inner City,346.3,0.609,0.432,1992ø
Pennies From Heaven,Praise,Inner City,261.7,0.609,0.432,1992ø
One Nation,Praise,Inner City,307.2,0.609,0.432,1992ø
My Heart's Not Here With You,Fire,Inner City,288.3,0.609,0.432,1990ø
Lovelight,Fire,Inner City,252.0,0.609,0.432,1990ø
Let It Reign,Praise,Inner City,278.8,0.609,0.432,1992ø
Innovators (Detroit Techno),Fire,Inner City,181.6,0.609,0.432,1990ø
Inner City Theme,Paradise,Inner City,168.4,0.609,0.432,1989ø
House Fever (Duane Bradley Remix),Paradise Remixed,Inner City,323.6,0.609,0.432,1998ø
Hallelujah (Leftfield Glory Mix),Testament '93,Inner City,504.7,0.609,0.432,1993ø
Hallelujah '92,Praise,Inner City,246.5,0.609,0.432,1992ø
Hallelujah,Fire,Inner City,204.7,0.609,0.432,1990ø
Good Life (Unity Remix),Testament '93,Inner City,422.8,0.609,0.432,1993ø
Good Life (Steve Silk Hurley Remix),Paradise Remixed,Inner City,431.6,0.609,0.432,1998ø
Good Life (Edit),NOW Dance Anthems,Inner City,235.7,0.609,0.432,1993ø
Good Life (Buena Vida) (Way Out West Vocal Mix),Good Life (Buena Vida),Inner City,401.6,0.609,0.432,1999ø
Good Life (Buena Vida) (Tommy Onyx's Summer Fiesta Radio Mix),Good Life (Buena Vida),Inner City,238.4,0.609,0.432,1999ø
Good Life (Buena Vida) (Tommy Onyx's Barcelona Mix),Good Life (Buena Vida),Inner City,527.0,0.609,0.432,1999ø
Good Life (Buena Vida) (Tommy Onyx's '88 Revisited Mix),Good Life (Buena Vida),Inner City,285.5,0.609,0.432,1999ø
Good Life (Buena Vida) (Stacey Pullen's Tribute To Body And Soul Mix),Good Life (Buena Vida),Inner City,404.1,0.609,0.432,1999ø
Good Life (Buena Vida) (Carl Craig Mix),Good Life (Buena Vida),Inner City,557.4,0.609,0.432,1999ø
Good Life,Playlist: 80s Hits,Inner City,241.9,0.609,0.432,1988ø
Follow Your Heart (Deep Reese Mix),Testament '93,Inner City,310.0,0.609,0.432,1993ø
Follow Your Heart,Praise,Inner City,309.5,0.609,0.432,1992ø
Fire,Fire,Inner City,234.4,0.609,0.432,1990ø
Faith,Praise,Inner City,256.2,0.609,0.432,1992ø
Do You Love What You Feel (Magic Juan's Smoking Remix),Paradise Remixed,Inner City,388.1,0.609,0.432,1998ø
Do You Love What You Feel (Duane Bradley Album Mix),Paradise,Inner City,300.5,0.609,0.432,1989ø
Big Fun (Phil Kieran Remix),Big Fun,Inner City,463.8,0.609,0.432,1988ø
Big Fun (Peshay Remix),Big Fun,Inner City,444.6,0.609,0.432,1988ø
Big Fun (Magic Juan Remix),Paradise Remixed,Inner City,304.3,0.609,0.432,1998ø
Big Fun (Kenny Hawkes Remake),Big Fun,Inner City,348.6,0.609,0.432,1988ø
"Big Fun (Filippo ""Naughty"" Moscatello Respect Mix)",Big Fun,Inner City,591.9,0.609,0.432,1988ø
Big Fun (Agoria Remix),Big Fun,Inner City,472.2,0.609,0.432,2004ø
Big Fun,Paradise,Inner City,206.2,0.609,0.432,1988ø
And I Do,Paradise,Inner City,249.1,0.609,0.432,1989ø
Ain't Nobody Better (Groove Corporation Remix),Original Hits - 80s 12'',Inner City,362.0,0.609,0.432,1998ø
Ain't Nobody Better,Original Hits - Dance,Inner City,239.3,0.609,0.432,1989ø
