Yakusoku (A Promise),Ume Sour,The Sisterhood of Convoluted Thinkers,208.1,0.332,0.205,2000ø
Warrenton 1,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,256.8,0.332,0.205,1999ø
Timing Is Correct,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,81.9,0.332,0.205,1999ø
Time Piece,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,186.8,0.332,0.205,1999ø
Sable,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,256.9,0.332,0.205,1999ø
Miss America,Wakefield Volume One - A Teenbeat Sampler,The Sisterhood of Convoluted Thinkers,223.9,0.332,0.205,1995ø
Just Look At the Building... It Stands,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,234.0,0.332,0.205,1999ø
Investor Relations,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,291.6,0.332,0.205,1999ø
Doors and Humming,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,172.4,0.332,0.205,1999ø
Action 98,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,132.4,0.332,0.205,1999ø
A Goof Plays on the Roof,Sisterhood Of Convoluted Thinkers,The Sisterhood of Convoluted Thinkers,235.0,0.332,0.205,1999ø
