The MacKenzie Lullaby,Celtic Twilight 2,Talitha Mackenzie,182.1,0.493,0.338,1995ø
Spiorad (Spirit),Spiorad,Talitha Mackenzie,282.4,0.493,0.338,1996ø
Saor An T-Sabhaidh (The Joiner),Spiorad,Talitha Mackenzie,227.0,0.493,0.338,1996ø
Hopa!,Spiorad,Talitha Mackenzie,161.1,0.493,0.338,1996ø
Griogair (Gregor),Spiorad,Talitha Mackenzie,281.1,0.493,0.338,1996ø
Fionnaghuala (Fair-Shoulders),Spiorad,Talitha Mackenzie,93.6,0.493,0.338,1996ø
Fill Iu O,Spiorad,Talitha Mackenzie,171.1,0.493,0.338,1997ø
Fear A' Bhata,Spiorad,Talitha Mackenzie,252.6,0.493,0.338,1996ø
Changerais-Tu? (Would You Change?),Spiorad,Talitha Mackenzie,199.3,0.493,0.338,1996ø
Ajde Jano (Come On_ Jano),Spiorad,Talitha Mackenzie,163.5,0.493,0.338,1996ø
A Fhleasgaich Oig (O Most Gentle Youth),Spiorad,Talitha Mackenzie,210.4,0.493,0.338,1996ø
3 Things,Holding Up Half The Sky: Voices Of Celtic Women Vol. 2,Talitha Mackenzie,384.8,0.493,0.338,1996ø
