Wild,The Bigtop,Matthew Sweet,231.0,0.657,0.429,2007ø
Where You Get Love,Time Capsule: The Best of Matthew Sweet 1990-2000,Matthew Sweet,216.5,0.657,0.429,1997ø
We're The Same,Platinum & Gold Collection,Matthew Sweet,185.3,0.657,0.429,1995ø
Untitled,In Reverse,Matthew Sweet,163.0,0.657,0.429,1999ø
Until You Break,Platinum & Gold Collection,Matthew Sweet,292.6,0.657,0.429,1997ø
Tonight We Ride,Kimi Ga Suki,Matthew Sweet,164.4,0.657,0.429,2003ø
Time Capsule,Altered Beast,Matthew Sweet,236.0,0.657,0.429,1993ø
Thought I Knew You,Girlfriend,Matthew Sweet,178.4,0.657,0.429,1991ø
This Moment,Sweet Relief - A Benefit For Victoria Williams,Matthew Sweet,285.4,0.657,0.429,1993ø
The Ugly Truth,Time Capsule: The Best of Matthew Sweet 1990-2000,Matthew Sweet,198.3,0.657,0.429,1993ø
Someone To Pull The Trigger,Altered Beast,Matthew Sweet,235.9,0.657,0.429,1993ø
Sick Of Myself,Time Capsule: The Best of Matthew Sweet 1990-2000,Matthew Sweet,218.6,0.657,0.429,1995ø
Ready,Time Capsule: The Best of Matthew Sweet 1990-2000,Matthew Sweet,237.0,0.657,0.429,2000ø
Pleasure Is Mine,Sunshine Lies,Matthew Sweet,287.5,0.657,0.429,2008ø
Nothing Lasts,Girlfriend,Matthew Sweet,213.6,0.657,0.429,1991ø
Millennium Blues,In Reverse,Matthew Sweet,173.2,0.657,0.429,1999ø
Hide,In Reverse,Matthew Sweet,243.4,0.657,0.429,1999ø
Girlfriend,Platinum & Gold Collection,Matthew Sweet,220.2,0.657,0.429,1991ø
Flying,Sunshine Lies,Matthew Sweet,261.7,0.657,0.429,2008ø
Evergreen,Altered Beast,Matthew Sweet,351.1,0.657,0.429,1993ø
Divine Intervention,Time Capsule: The Best of Matthew Sweet 1990-2000,Matthew Sweet,337.5,0.657,0.429,1991ø
Dinosaur Act,Altered Beast,Matthew Sweet,245.9,0.657,0.429,1993ø
Day For Night,Girlfriend,Matthew Sweet,175.1,0.657,0.429,1991ø
Byrdgirl,Sunshine Lies,Matthew Sweet,197.4,0.657,0.429,2008ø
