Your hands on my skin (Album Version),Zehn (Best of),De|Vision,281.0,0.626,0.423,1998ø
Your hands on my skin '98,Zehn (Best of),De|Vision,307.7,0.626,0.423,1998ø
You want to kill me,Da*Mals (worst of),De|Vision,234.3,0.626,0.423,1991ø
What You Deserve,Noob,De|Vision,217.8,0.626,0.423,2007ø
What It Feels Like,Noob,De|Vision,246.2,0.626,0.423,2007ø
Until The End Of Time,Popgefahr,De|Vision,391.3,0.626,0.423,2010ø
Try to forget '98,Zehn (Best of),De|Vision,329.5,0.626,0.423,1998ø
Time To Be Alive,Rage,De|Vision,224.1,0.626,0.423,2010ø
The gold of the poor,Antiquity,De|Vision,225.5,0.626,0.423,1991ø
State Of Mind,Two,De|Vision,346.9,0.626,0.423,2001ø
Slaves To Passion,Monosex,De|Vision,209.7,0.626,0.423,1998ø
Skin Mix,Da*Mals (worst of),De|Vision,93.9,0.626,0.423,2007ø
Silent Moan,Two,De|Vision,268.3,0.626,0.423,2001ø
Shoreline,Monosex,De|Vision,192.3,0.626,0.423,1998ø
Self-Deception,Void,De|Vision,436.4,0.626,0.423,2000ø
Sadness,Devolution,De|Vision,293.0,0.626,0.423,2003ø
Ready To Die,Popgefahr,De|Vision,284.8,0.626,0.423,2010ø
Re-Invent Yourself,Void,De|Vision,300.1,0.626,0.423,2000ø
Rage,Rage,De|Vision,214.4,0.626,0.423,2010ø
Plight,Da*Mals (worst of),De|Vision,229.1,0.626,0.423,1991ø
Obsolete,Noob,De|Vision,238.3,0.626,0.423,2007ø
Nine Lifes,Noob,De|Vision,228.7,0.626,0.423,2007ø
Like the sun,Zehn (Best of),De|Vision,253.3,0.626,0.423,1996ø
Ignore me,Da*Mals (worst of),De|Vision,213.1,0.626,0.423,1990ø
I regret (Radio Edit),Zehn (Best of),De|Vision,232.8,0.626,0.423,1996ø
Heart-Shaped Tumor,Two,De|Vision,353.4,0.626,0.423,2001ø
Give In,Void,De|Vision,268.2,0.626,0.423,2000ø
Get over the wall,Zehn (Best of),De|Vision,231.3,0.626,0.423,1995ø
Foreigner,Void,De|Vision,316.4,0.626,0.423,2000ø
Dinner without grace '98,Zehn (Best of),De|Vision,310.1,0.626,0.423,1998ø
Deliver Me,Monosex,De|Vision,206.2,0.626,0.423,1998ø
Anywhere,Void,De|Vision,438.8,0.626,0.423,2000ø
Androids,Popgefahr,De|Vision,229.4,0.626,0.423,2010ø
A Prayer,Void,De|Vision,298.2,0.626,0.423,2000ø
A New Dawn,Devolution,De|Vision,358.0,0.626,0.423,2003ø
