Te Mando Flores,Fonseca - Acoustic Versions,Fonseca,269.2,0.636,0.37,2006ø
San Jose,Gratitud,Fonseca,273.8,0.636,0.37,2008ø
Sabre Olvidar,Gratitud,Fonseca,222.6,0.636,0.37,2008ø
Perdon,Gratitud,Fonseca,252.0,0.636,0.37,2008ø
Paraiso,Gratitud,Fonseca,257.5,0.636,0.37,2008ø
Gratitud,Gratitud,Fonseca,226.0,0.636,0.37,2008ø
Enredame (Acoustic),Gratitud,Fonseca,199.5,0.636,0.37,2008ø
Enredame,Gratitud,Fonseca,234.5,0.636,0.37,2008ø
Confiesame 2008,Gratitud,Fonseca,298.9,0.636,0.37,2008ø
Como Te Extrano,Gratitud,Fonseca,247.3,0.636,0.37,2008ø
Catalina,Gratitud,Fonseca,245.6,0.636,0.37,2008ø
Beautiful Sunshine,Gratitud,Fonseca,317.4,0.636,0.37,2008ø
Arroyito,Gratitud,Fonseca,238.2,0.636,0.37,2008ø
Alma,Gratitud,Fonseca,231.2,0.636,0.37,2008ø
