When Eden Burns,Dockyard 1 Is Coming,Persuader,310.5,0.584,0.374,2006ø
My Life For You,The Hunter,Persuader,374.2,0.584,0.374,2000ø
More Moments Of You,The Clock Machine Turns You On,Persuader,255.9,0.584,0.374,2005ø
Heart And Steel,The Hunter,Persuader,280.2,0.584,0.374,2000ø
Fire At Will,The Hunter,Persuader,281.5,0.584,0.374,2000ø
Escape (demo version),The Hunter,Persuader,319.6,0.584,0.374,2000ø
Escape,The Hunter,Persuader,325.8,0.584,0.374,2000ø
Cursed (demo version),The Hunter,Persuader,299.5,0.584,0.374,2000ø
Cursed,The Hunter,Persuader,284.3,0.584,0.374,2000ø
As You Wish,The Hunter,Persuader,293.2,0.584,0.374,2000ø
And There Was Light...,The Hunter,Persuader,273.0,0.584,0.374,2000ø
